code,year,month,helada_dias
C076,2016,1,9
C076,2016,2,9
C076,2016,3,3
C076,2016,4,3
C076,2016,5,0
C076,2016,6,0
C076,2016,7,0
C076,2016,8,0
C076,2016,9,0
C076,2016,10,1
C076,2016,11,2
C076,2016,12,10
C056,2016,1,8
C056,2016,2,9
C056,2016,3,3
C056,2016,4,3
C056,2016,5,1
C056,2016,6,0
C056,2016,7,0
C056,2016,8,0
C056,2016,9,0
C056,2016,10,2
C056,2016,11,3
C056,2016,12,13
C035,2016,1,5
C035,2016,2,4
C035,2016,3,0
C035,2016,4,3
C035,2016,5,1
C035,2016,6,0
C035,2016,7,0
C035,2016,8,0
C035,2016,9,0
C035,2016,10,0
C035,2016,11,0
C035,2016,12,6
C001,2016,1,9
C001,2016,2,9
C001,2016,3,4
C001,2016,4,3
C001,2016,5,2
C001,2016,6,0
C001,2016,7,0
C001,2016,8,0
C001,2016,9,0
C001,2016,10,2
C001,2016,11,2
C001,2016,12,14
C025,2016,1,3
C025,2016,2,6
C025,2016,3,3
C025,2016,4,2
C025,2016,5,0
C025,2016,6,0
C025,2016,7,0
C025,2016,8,0
C025,2016,9,0
C025,2016,10,0
C025,2016,11,0
C025,2016,12,5
C034,2016,1,10
C034,2016,2,12
C034,2016,3,2
C034,2016,4,3
C034,2016,5,2
C034,2016,6,0
C034,2016,7,0
C034,2016,8,0
C034,2016,9,0
C034,2016,10,3
C034,2016,11,5
C034,2016,12,9
C0AA,2016,1,10
C0AA,2016,2,10
C0AA,2016,3,6
C0AA,2016,4,3
C0AA,2016,5,2
C0AA,2016,6,0
C0AA,2016,7,0
C0AA,2016,8,0
C0AA,2016,9,0
C0AA,2016,10,4
C0AA,2016,11,3
C0AA,2016,12,16
C067,2016,1,2
C067,2016,2,2
C067,2016,3,1
C067,2016,4,1
C067,2016,5,0
C067,2016,6,0
C067,2016,7,0
C067,2016,8,0
C067,2016,9,0
C067,2016,10,0
C067,2016,11,0
C067,2016,12,3
C040,2016,1,1
C040,2016,2,1
C040,2016,3,0
C040,2016,4,0
C040,2016,5,0
C040,2016,6,0
C040,2016,7,0
C040,2016,8,0
C040,2016,9,0
C040,2016,10,0
C040,2016,11,0
C040,2016,12,3
C044,2016,1,3
C044,2016,2,4
C044,2016,3,2
C044,2016,4,3
C044,2016,5,0
C044,2016,6,0
C044,2016,7,0
C044,2016,8,0
C044,2016,9,0
C044,2016,10,0
C044,2016,11,0
C044,2016,12,5
C048,2016,1,9
C048,2016,2,13
C048,2016,3,19
C048,2016,4,9
C048,2016,5,2
C048,2016,6,0
C048,2016,7,0
C048,2016,8,0
C048,2016,9,0
C048,2016,10,0
C048,2016,11,5
C048,2016,12,1
C068,2016,1,6
C068,2016,2,6
C068,2016,3,4
C068,2016,4,2
C068,2016,5,0
C068,2016,6,0
C068,2016,7,0
C068,2016,8,0
C068,2016,9,0
C068,2016,10,0
C068,2016,11,1
C068,2016,12,11
C024,2016,1,13
C024,2016,2,13
C024,2016,3,16
C024,2016,4,6
C024,2016,5,1
C024,2016,6,0
C024,2016,7,0
C024,2016,8,0
C024,2016,9,0
C024,2016,10,4
C024,2016,11,6
C024,2016,12,18
C00A,2016,1,10
C00A,2016,2,11
C00A,2016,3,4
C00A,2016,4,2
C00A,2016,5,1
C00A,2016,6,0
C00A,2016,7,0
C00A,2016,8,0
C00A,2016,9,0
C00A,2016,10,3
C00A,2016,11,1
C00A,2016,12,11
C047,2016,1,11
C047,2016,2,13
C047,2016,3,20
C047,2016,4,10
C047,2016,5,2
C047,2016,6,0
C047,2016,7,0
C047,2016,8,0
C047,2016,9,0
C047,2016,10,0
C047,2016,11,7
C047,2016,12,3
C031,2016,1,0
C031,2016,2,2
C031,2016,3,0
C031,2016,4,0
C031,2016,5,0
C031,2016,6,0
C031,2016,7,0
C031,2016,8,0
C031,2016,9,0
C031,2016,10,0
C031,2016,11,0
C031,2016,12,3
C041,2016,1,12
C041,2016,2,13
C041,2016,3,10
C041,2016,4,4
C041,2016,5,2
C041,2016,6,0
C041,2016,7,0
C041,2016,8,0
C041,2016,9,0
C041,2016,10,5
C041,2016,11,4
C041,2016,12,17
C055,2016,1,7
C055,2016,2,8
C055,2016,3,3
C055,2016,4,3
C055,2016,5,1
C055,2016,6,0
C055,2016,7,0
C055,2016,8,0
C055,2016,9,0
C055,2016,10,3
C055,2016,11,2
C055,2016,12,16
C060,2016,1,3
C060,2016,2,6
C060,2016,3,0
C060,2016,4,1
C060,2016,5,0
C060,2016,6,0
C060,2016,7,0
C060,2016,8,0
C060,2016,9,0
C060,2016,10,0
C060,2016,11,0
C060,2016,12,5
C021,2016,1,8
C021,2016,2,9
C021,2016,3,7
C021,2016,4,3
C021,2016,5,0
C021,2016,6,0
C021,2016,7,0
C021,2016,8,0
C021,2016,9,0
C021,2016,10,2
C021,2016,11,1
C021,2016,12,6
C030,2016,1,13
C030,2016,2,16
C030,2016,3,10
C030,2016,4,3
C030,2016,5,3
C030,2016,6,0
C030,2016,7,0
C030,2016,8,0
C030,2016,9,0
C030,2016,10,2
C030,2016,11,3
C030,2016,12,18
C051,2016,1,2
C051,2016,2,4
C051,2016,3,0
C051,2016,4,1
C051,2016,5,0
C051,2016,6,0
C051,2016,7,0
C051,2016,8,0
C051,2016,9,0
C051,2016,10,0
C051,2016,11,0
C051,2016,12,4
C0A0,2016,1,5
C0A0,2016,2,7
C0A0,2016,3,1
C0A0,2016,4,2
C0A0,2016,5,1
C0A0,2016,6,0
C0A0,2016,7,0
C0A0,2016,8,0
C0A0,2016,9,0
C0A0,2016,10,0
C0A0,2016,11,1
C0A0,2016,12,7
C049,2016,1,13
C049,2016,2,12
C049,2016,3,6
C049,2016,4,4
C049,2016,5,1
C049,2016,6,0
C049,2016,7,0
C049,2016,8,0
C049,2016,9,0
C049,2016,10,1
C049,2016,11,4
C049,2016,12,9
C020,2016,1,12
C020,2016,2,14
C020,2016,3,11
C020,2016,4,6
C020,2016,5,4
C020,2016,6,0
C020,2016,7,0
C020,2016,8,0
C020,2016,9,0
C020,2016,10,4
C020,2016,11,7
C020,2016,12,15
C070,2016,1,0
C070,2016,2,3
C070,2016,3,2
C070,2016,4,3
C070,2016,5,0
C070,2016,6,0
C070,2016,7,0
C070,2016,8,0
C070,2016,9,0
C070,2016,10,0
C070,2016,11,5
C070,2016,12,2
C050,2016,1,5
C050,2016,2,7
C050,2016,3,2
C050,2016,4,3
C050,2016,5,0
C050,2016,6,0
C050,2016,7,0
C050,2016,8,0
C050,2016,9,0
C050,2016,10,1
C050,2016,11,2
C050,2016,12,4
C0B1,2016,1,0
C0B1,2016,2,2
C0B1,2016,3,0
C0B1,2016,4,0
C0B1,2016,5,0
C0B1,2016,6,0
C0B1,2016,7,0
C0B1,2016,8,0
C0B1,2016,9,0
C0B1,2016,10,0
C0B1,2016,11,0
C0B1,2016,12,1
C079,2016,1,3
C079,2016,2,3
C079,2016,3,1
C079,2016,4,1
C079,2016,5,0
C079,2016,6,0
C079,2016,7,0
C079,2016,8,0
C079,2016,9,0
C079,2016,10,0
C079,2016,11,0
C079,2016,12,2
C0C1,2016,1,0
C0C1,2016,2,1
C0C1,2016,3,0
C0C1,2016,4,0
C0C1,2016,5,0
C0C1,2016,6,0
C0C1,2016,7,0
C0C1,2016,8,0
C0C1,2016,9,0
C0C1,2016,10,0
C0C1,2016,11,0
C0C1,2016,12,1
C061,2016,1,0
C061,2016,2,1
C061,2016,3,0
C061,2016,4,0
C061,2016,5,0
C061,2016,6,0
C061,2016,7,0
C061,2016,8,0
C061,2016,9,0
C061,2016,10,0
C061,2016,11,0
C061,2016,12,0
C032,2016,1,3
C032,2016,2,3
C032,2016,3,1
C032,2016,4,1
C032,2016,5,0
C032,2016,6,0
C032,2016,7,0
C032,2016,8,0
C032,2016,9,0
C032,2016,10,0
C032,2016,11,0
C032,2016,12,4
C002,2016,1,0
C002,2016,2,1
C002,2016,3,0
C002,2016,4,0
C002,2016,5,0
C002,2016,6,0
C002,2016,7,0
C002,2016,8,0
C002,2016,9,0
C002,2016,10,0
C002,2016,11,0
C002,2016,12,1
C0C2,2016,1,9
C0C2,2016,2,9
C0C2,2016,3,2
C0C2,2016,4,5
C0C2,2016,5,3
C0C2,2016,6,0
C0C2,2016,7,0
C0C2,2016,8,0
C0C2,2016,9,0
C0C2,2016,10,0
C0C2,2016,11,3
C0C2,2016,12,7
C069,2016,1,0
C069,2016,2,0
C069,2016,3,0
C069,2016,4,0
C069,2016,5,0
C069,2016,6,0
C069,2016,7,0
C069,2016,8,0
C069,2016,9,0
C069,2016,10,0
C069,2016,11,0
C069,2016,12,0
C0B6,2016,1,1
C0B6,2016,2,3
C0B6,2016,3,1
C0B6,2016,4,1
C0B6,2016,5,0
C0B6,2016,6,0
C0B6,2016,7,0
C0B6,2016,8,0
C0B6,2016,9,0
C0B6,2016,10,0
C0B6,2016,11,0
C0B6,2016,12,3
C0BE,2016,1,0
C0BE,2016,2,0
C0BE,2016,3,0
C0BE,2016,4,0
C0BE,2016,5,0
C0BE,2016,6,0
C0BE,2016,7,0
C0BE,2016,8,0
C0BE,2016,9,0
C0BE,2016,10,0
C0BE,2016,11,0
C0BE,2016,12,0
C065,2016,1,0
C065,2016,2,1
C065,2016,3,0
C065,2016,4,0
C065,2016,5,0
C065,2016,6,0
C065,2016,7,0
C065,2016,8,0
C065,2016,9,0
C065,2016,10,0
C065,2016,11,0
C065,2016,12,0
C003,2016,1,0
C003,2016,2,2
C003,2016,3,0
C003,2016,4,0
C003,2016,5,0
C003,2016,6,0
C003,2016,7,0
C003,2016,8,0
C003,2016,9,0
C003,2016,10,0
C003,2016,11,0
C003,2016,12,2
C039,2016,1,0
C039,2016,2,0
C039,2016,3,0
C039,2016,4,0
C039,2016,5,0
C039,2016,6,0
C039,2016,7,0
C039,2016,8,0
C039,2016,9,0
C039,2016,10,0
C039,2016,11,0
C039,2016,12,0
C075,2016,1,0
C075,2016,2,1
C075,2016,3,0
C075,2016,4,0
C075,2016,5,0
C075,2016,6,0
C075,2016,7,0
C075,2016,8,0
C075,2016,9,0
C075,2016,10,0
C075,2016,11,0
C075,2016,12,0
C074,2016,1,0
C074,2016,2,2
C074,2016,3,0
C074,2016,4,0
C074,2016,5,0
C074,2016,6,0
C074,2016,7,0
C074,2016,8,0
C074,2016,9,0
C074,2016,10,0
C074,2016,11,0
C074,2016,12,2
C038,2016,1,0
C038,2016,2,0
C038,2016,3,0
C038,2016,4,0
C038,2016,5,0
C038,2016,6,0
C038,2016,7,0
C038,2016,8,0
C038,2016,9,0
C038,2016,10,0
C038,2016,11,0
C038,2016,12,0
C033,2016,1,0
C033,2016,2,2
C033,2016,3,0
C033,2016,4,0
C033,2016,5,0
C033,2016,6,0
C033,2016,7,0
C033,2016,8,0
C033,2016,9,0
C033,2016,10,0
C033,2016,11,0
C033,2016,12,2
C0BD,2016,1,0
C0BD,2016,2,1
C0BD,2016,3,1
C0BD,2016,4,0
C0BD,2016,5,0
C0BD,2016,6,0
C0BD,2016,7,0
C0BD,2016,8,0
C0BD,2016,9,0
C0BD,2016,10,0
C0BD,2016,11,0
C0BD,2016,12,2
C036,2016,1,0
C036,2016,2,1
C036,2016,3,0
C036,2016,4,0
C036,2016,5,0
C036,2016,6,0
C036,2016,7,0
C036,2016,8,0
C036,2016,9,0
C036,2016,10,0
C036,2016,11,0
C036,2016,12,0
C045,2016,1,0
C045,2016,2,1
C045,2016,3,0
C045,2016,4,0
C045,2016,5,0
C045,2016,6,0
C045,2016,7,0
C045,2016,8,0
C045,2016,9,0
C045,2016,10,0
C045,2016,11,0
C045,2016,12,0
C0B7,2016,1,0
C0B7,2016,2,1
C0B7,2016,3,0
C0B7,2016,4,0
C0B7,2016,5,0
C0B7,2016,6,0
C0B7,2016,7,0
C0B7,2016,8,0
C0B7,2016,9,0
C0B7,2016,10,0
C0B7,2016,11,0
C0B7,2016,12,3
C019,2016,1,0
C019,2016,2,0
C019,2016,3,0
C019,2016,4,0
C019,2016,5,0
C019,2016,6,0
C019,2016,7,0
C019,2016,8,0
C019,2016,9,0
C019,2016,10,0
C019,2016,11,0
C019,2016,12,0
C057,2016,1,0
C057,2016,2,1
C057,2016,3,0
C057,2016,4,0
C057,2016,5,0
C057,2016,6,0
C057,2016,7,0
C057,2016,8,0
C057,2016,9,0
C057,2016,10,0
C057,2016,11,0
C057,2016,12,0
C063,2016,1,3
C063,2016,2,4
C063,2016,3,1
C063,2016,4,1
C063,2016,5,0
C063,2016,6,0
C063,2016,7,0
C063,2016,8,0
C063,2016,9,0
C063,2016,10,0
C063,2016,11,0
C063,2016,12,0
C046,2016,1,2
C046,2016,2,8
C046,2016,3,9
C046,2016,4,1
C046,2016,5,0
C046,2016,6,0
C046,2016,7,0
C046,2016,8,0
C046,2016,9,0
C046,2016,10,0
C046,2016,11,0
C046,2016,12,0
C0BA,2016,1,0
C0BA,2016,2,1
C0BA,2016,3,0
C0BA,2016,4,0
C0BA,2016,5,0
C0BA,2016,6,0
C0BA,2016,7,0
C0BA,2016,8,0
C0BA,2016,9,0
C0BA,2016,10,0
C0BA,2016,11,0
C0BA,2016,12,0
C059,2016,1,3
C059,2016,2,3
C059,2016,3,0
C059,2016,4,1
C059,2016,5,0
C059,2016,6,0
C059,2016,7,0
C059,2016,8,0
C059,2016,9,0
C059,2016,10,0
C059,2016,11,0
C059,2016,12,4
C072,2016,1,3
C072,2016,2,4
C072,2016,3,5
C072,2016,4,1
C072,2016,5,0
C072,2016,6,0
C072,2016,7,0
C072,2016,8,0
C072,2016,9,0
C072,2016,10,0
C072,2016,11,1
C072,2016,12,2
C0B4,2016,1,0
C0B4,2016,2,2
C0B4,2016,3,0
C0B4,2016,4,1
C0B4,2016,5,0
C0B4,2016,6,0
C0B4,2016,7,0
C0B4,2016,8,0
C0B4,2016,9,0
C0B4,2016,10,0
C0B4,2016,11,0
C0B4,2016,12,3
C054,2016,1,9
C054,2016,2,7
C054,2016,3,5
C054,2016,4,4
C054,2016,5,2
C054,2016,6,0
C054,2016,7,0
C054,2016,8,0
C054,2016,9,0
C054,2016,10,3
C054,2016,11,4
C054,2016,12,10
C042,2016,1,0
C042,2016,2,0
C042,2016,3,0
C042,2016,4,0
C042,2016,5,0
C042,2016,6,0
C042,2016,7,0
C042,2016,8,0
C042,2016,9,0
C042,2016,10,0
C042,2016,11,0
C042,2016,12,0
C0B9,2016,1,0
C0B9,2016,2,2
C0B9,2016,3,0
C0B9,2016,4,0
C0B9,2016,5,0
C0B9,2016,6,0
C0B9,2016,7,0
C0B9,2016,8,0
C0B9,2016,9,0
C0B9,2016,10,0
C0B9,2016,11,0
C0B9,2016,12,3
C0C3,2016,1,2
C0C3,2016,2,2
C0C3,2016,3,0
C0C3,2016,4,1
C0C3,2016,5,0
C0C3,2016,6,0
C0C3,2016,7,0
C0C3,2016,8,0
C0C3,2016,9,0
C0C3,2016,10,0
C0C3,2016,11,0
C0C3,2016,12,2
C066,2016,1,2
C066,2016,2,6
C066,2016,3,4
C066,2016,4,0
C066,2016,5,0
C066,2016,6,0
C066,2016,7,0
C066,2016,8,0
C066,2016,9,0
C066,2016,10,0
C066,2016,11,0
C066,2016,12,1
C022,2016,1,3
C022,2016,2,5
C022,2016,3,8
C022,2016,4,5
C022,2016,5,0
C022,2016,6,0
C022,2016,7,0
C022,2016,8,0
C022,2016,9,0
C022,2016,10,0
C022,2016,11,4
C022,2016,12,6
C0B3,2016,1,2
C0B3,2016,2,3
C0B3,2016,3,1
C0B3,2016,4,1
C0B3,2016,5,0
C0B3,2016,6,0
C0B3,2016,7,0
C0B3,2016,8,0
C0B3,2016,9,0
C0B3,2016,10,0
C0B3,2016,11,0
C0B3,2016,12,3
C037,2016,1,0
C037,2016,2,2
C037,2016,3,0
C037,2016,4,0
C037,2016,5,0
C037,2016,6,0
C037,2016,7,0
C037,2016,8,0
C037,2016,9,0
C037,2016,10,0
C037,2016,11,0
C037,2016,12,2
C0E5,2016,1,1
C0E5,2016,2,3
C0E5,2016,3,0
C0E5,2016,4,0
C0E5,2016,5,0
C0E5,2016,6,0
C0E5,2016,7,0
C0E5,2016,8,0
C0E5,2016,9,0
C0E5,2016,10,0
C0E5,2016,11,0
C0E5,2016,12,4
C0DB,2016,1,5
C0DB,2016,2,8
C0DB,2016,3,4
C0DB,2016,4,1
C0DB,2016,5,0
C0DB,2016,6,0
C0DB,2016,7,0
C0DB,2016,8,0
C0DB,2016,9,0
C0DB,2016,10,0
C0DB,2016,11,1
C0DB,2016,12,5
C0D3,2016,1,0
C0D3,2016,2,2
C0D3,2016,3,1
C0D3,2016,4,0
C0D3,2016,5,0
C0D3,2016,6,0
C0D3,2016,7,0
C0D3,2016,8,0
C0D3,2016,9,0
C0D3,2016,10,0
C0D3,2016,11,0
C0D3,2016,12,1
C0DD,2016,1,0
C0DD,2016,2,1
C0DD,2016,3,0
C0DD,2016,4,0
C0DD,2016,5,0
C0DD,2016,6,0
C0DD,2016,7,0
C0DD,2016,8,0
C0DD,2016,9,0
C0DD,2016,10,0
C0DD,2016,11,0
C0DD,2016,12,0
C0E9,2016,1,0
C0E9,2016,2,2
C0E9,2016,3,0
C0E9,2016,4,0
C0E9,2016,5,0
C0E9,2016,6,0
C0E9,2016,7,0
C0E9,2016,8,0
C0E9,2016,9,0
C0E9,2016,10,0
C0E9,2016,11,0
C0E9,2016,12,2
C078,2016,1,0
C078,2016,2,1
C078,2016,3,0
C078,2016,4,0
C078,2016,5,0
C078,2016,6,0
C078,2016,7,0
C078,2016,8,0
C078,2016,9,0
C078,2016,10,0
C078,2016,11,0
C078,2016,12,2
C052,2016,1,0
C052,2016,2,2
C052,2016,3,1
C052,2016,4,0
C052,2016,5,0
C052,2016,6,0
C052,2016,7,0
C052,2016,8,0
C052,2016,9,0
C052,2016,10,0
C052,2016,11,0
C052,2016,12,4
C0E1,2016,1,3
C0E1,2016,2,4
C0E1,2016,3,1
C0E1,2016,4,0
C0E1,2016,5,0
C0E1,2016,6,0
C0E1,2016,7,0
C0E1,2016,8,0
C0E1,2016,9,0
C0E1,2016,10,0
C0E1,2016,11,1
C0E1,2016,12,8
C077,2016,1,0
C077,2016,2,1
C077,2016,3,0
C077,2016,4,0
C077,2016,5,0
C077,2016,6,0
C077,2016,7,0
C077,2016,8,0
C077,2016,9,0
C077,2016,10,0
C077,2016,11,0
C077,2016,12,2
C080,2016,1,0
C080,2016,2,4
C080,2016,3,1
C080,2016,4,0
C080,2016,5,0
C080,2016,6,0
C080,2016,7,0
C080,2016,8,0
C080,2016,9,0
C080,2016,10,0
C080,2016,11,0
C080,2016,12,6
C0E8,2016,1,1
C0E8,2016,2,3
C0E8,2016,3,0
C0E8,2016,4,0
C0E8,2016,5,0
C0E8,2016,6,0
C0E8,2016,7,0
C0E8,2016,8,0
C0E8,2016,9,0
C0E8,2016,10,0
C0E8,2016,11,0
C0E8,2016,12,3
C023,2016,1,4
C023,2016,2,7
C023,2016,3,2
C023,2016,4,1
C023,2016,5,0
C023,2016,6,0
C023,2016,7,0
C023,2016,8,0
C023,2016,9,0
C023,2016,10,0
C023,2016,11,2
C023,2016,12,5
C084,2016,1,0
C084,2016,2,1
C084,2016,3,0
C084,2016,4,0
C084,2016,5,0
C084,2016,6,0
C084,2016,7,0
C084,2016,8,0
C084,2016,9,0
C084,2016,10,0
C084,2016,11,0
C084,2016,12,1
C0EA,2016,1,0
C0EA,2016,2,2
C0EA,2016,3,0
C0EA,2016,4,0
C0EA,2016,5,0
C0EA,2016,6,0
C0EA,2016,7,0
C0EA,2016,8,0
C0EA,2016,9,0
C0EA,2016,10,0
C0EA,2016,11,0
C0EA,2016,12,2
C026,2016,1,3
C026,2016,2,5
C026,2016,3,4
C026,2016,4,1
C026,2016,5,0
C026,2016,6,0
C026,2016,7,0
C026,2016,8,0
C026,2016,9,0
C026,2016,10,0
C026,2016,11,1
C026,2016,12,7
C058,2016,1,1
C058,2016,2,7
C058,2016,3,4
C058,2016,4,0
C058,2016,5,0
C058,2016,6,0
C058,2016,7,0
C058,2016,8,0
C058,2016,9,0
C058,2016,10,0
C058,2016,11,1
C058,2016,12,1
C0F0,2016,1,0
C0F0,2016,2,1
C0F0,2016,3,0
C0F0,2016,4,0
C0F0,2016,5,0
C0F0,2016,6,0
C0F0,2016,7,0
C0F0,2016,8,0
C0F0,2016,9,0
C0F0,2016,10,0
C0F0,2016,11,0
C0F0,2016,12,2
C0E7,2016,1,1
C0E7,2016,2,3
C0E7,2016,3,1
C0E7,2016,4,0
C0E7,2016,5,0
C0E7,2016,6,0
C0E7,2016,7,0
C0E7,2016,8,0
C0E7,2016,9,0
C0E7,2016,10,0
C0E7,2016,11,0
C0E7,2016,12,3
C018,2016,1,0
C018,2016,2,0
C018,2016,3,0
C018,2016,4,0
C018,2016,5,0
C018,2016,6,0
C018,2016,7,0
C018,2016,8,0
C018,2016,9,0
C018,2016,10,0
C018,2016,11,0
C018,2016,12,0
C0DC,2016,1,0
C0DC,2016,2,1
C0DC,2016,3,0
C0DC,2016,4,0
C0DC,2016,5,0
C0DC,2016,6,0
C0DC,2016,7,0
C0DC,2016,8,0
C0DC,2016,9,0
C0DC,2016,10,0
C0DC,2016,11,0
C0DC,2016,12,2
C071,2016,1,0
C071,2016,2,1
C071,2016,3,0
C071,2016,4,0
C071,2016,5,0
C071,2016,6,0
C071,2016,7,0
C071,2016,8,0
C071,2016,9,0
C071,2016,10,0
C071,2016,11,0
C071,2016,12,0
C0EC,2016,1,0
C0EC,2016,2,1
C0EC,2016,3,0
C0EC,2016,4,0
C0EC,2016,5,0
C0EC,2016,6,0
C0EC,2016,7,0
C0EC,2016,8,0
C0EC,2016,9,0
C0EC,2016,10,0
C0EC,2016,11,0
C0EC,2016,12,1
C0DE,2016,1,0
C0DE,2016,2,0
C0DE,2016,3,0
C0DE,2016,4,0
C0DE,2016,5,0
C0DE,2016,6,0
C0DE,2016,7,0
C0DE,2016,8,0
C0DE,2016,9,0
C0DE,2016,10,0
C0DE,2016,11,0
C0DE,2016,12,0
C017,2016,1,0
C017,2016,2,1
C017,2016,3,0
C017,2016,4,0
C017,2016,5,0
C017,2016,6,0
C017,2016,7,0
C017,2016,8,0
C017,2016,9,0
C017,2016,10,0
C017,2016,11,0
C017,2016,12,0
C0F4,2016,1,0
C0F4,2016,2,1
C0F4,2016,3,0
C0F4,2016,4,0
C0F4,2016,5,0
C0F4,2016,6,0
C0F4,2016,7,0
C0F4,2016,8,0
C0F4,2016,9,0
C0F4,2016,10,0
C0F4,2016,11,0
C0F4,2016,12,1
C0D1,2016,1,1
C0D1,2016,2,3
C0D1,2016,3,1
C0D1,2016,4,1
C0D1,2016,5,0
C0D1,2016,6,0
C0D1,2016,7,0
C0D1,2016,8,0
C0D1,2016,9,0
C0D1,2016,10,0
C0D1,2016,11,0
C0D1,2016,12,3
C043,2016,1,0
C043,2016,2,1
C043,2016,3,0
C043,2016,4,0
C043,2016,5,0
C043,2016,6,0
C043,2016,7,0
C043,2016,8,0
C043,2016,9,0
C043,2016,10,0
C043,2016,11,0
C043,2016,12,2
C0D2,2016,1,0
C0D2,2016,2,3
C0D2,2016,3,0
C0D2,2016,4,0
C0D2,2016,5,0
C0D2,2016,6,0
C0D2,2016,7,0
C0D2,2016,8,0
C0D2,2016,9,0
C0D2,2016,10,0
C0D2,2016,11,0
C0D2,2016,12,2
C007,2016,1,0
C007,2016,2,0
C007,2016,3,0
C007,2016,4,0
C007,2016,5,0
C007,2016,6,0
C007,2016,7,0
C007,2016,8,0
C007,2016,9,0
C007,2016,10,0
C007,2016,11,0
C007,2016,12,0
C0D0,2016,1,2
C0D0,2016,2,2
C0D0,2016,3,1
C0D0,2016,4,0
C0D0,2016,5,0
C0D0,2016,6,0
C0D0,2016,7,0
C0D0,2016,8,0
C0D0,2016,9,0
C0D0,2016,10,0
C0D0,2016,11,0
C0D0,2016,12,4
C064,2016,1,0
C064,2016,2,0
C064,2016,3,0
C064,2016,4,0
C064,2016,5,0
C064,2016,6,0
C064,2016,7,0
C064,2016,8,0
C064,2016,9,0
C064,2016,10,0
C064,2016,11,0
C064,2016,12,0
C028,2016,1,0
C028,2016,2,2
C028,2016,3,0
C028,2016,4,0
C028,2016,5,0
C028,2016,6,0
C028,2016,7,0
C028,2016,8,0
C028,2016,9,0
C028,2016,10,0
C028,2016,11,0
C028,2016,12,0
C029,2016,1,0
C029,2016,2,1
C029,2016,3,0
C029,2016,4,0
C029,2016,5,0
C029,2016,6,0
C029,2016,7,0
C029,2016,8,0
C029,2016,9,0
C029,2016,10,0
C029,2016,11,0
C029,2016,12,0
C076,2017,1,21
C076,2017,2,4
C076,2017,3,3
C076,2017,4,5
C076,2017,5,1
C076,2017,6,0
C076,2017,7,0
C076,2017,8,0
C076,2017,9,0
C076,2017,10,0
C076,2017,11,10
C076,2017,12,12
C0A4,2017,3,2
C0A4,2017,4,7
C0A4,2017,5,1
C0A4,2017,6,0
C0A4,2017,7,0
C0A4,2017,8,0
C0A4,2017,9,0
C0A4,2017,10,1
C0A4,2017,11,13
C0A4,2017,12,7
C056,2017,1,21
C056,2017,2,4
C056,2017,3,2
C056,2017,4,5
C056,2017,5,1
C056,2017,6,0
C056,2017,7,0
C056,2017,8,0
C056,2017,9,0
C056,2017,10,0
C056,2017,11,9
C056,2017,12,9
C035,2017,1,18
C035,2017,2,1
C035,2017,3,2
C035,2017,4,2
C035,2017,5,0
C035,2017,6,0
C035,2017,7,0
C035,2017,8,0
C035,2017,9,0
C035,2017,10,1
C035,2017,11,12
C035,2017,12,15
C0A3,2017,1,24
C0A3,2017,2,13
C0A3,2017,3,9
C0A3,2017,4,10
C0A3,2017,5,1
C0A3,2017,6,0
C0A3,2017,7,0
C0A3,2017,8,0
C0A3,2017,9,0
C0A3,2017,10,1
C0A3,2017,11,14
