code,year,month,humedad_media_diaria
C076,2016,1,86.1
C076,2016,2,86.4
C076,2016,3,84.6
C076,2016,4,79.7
C076,2016,5,77.3
C076,2016,6,77.6
C076,2016,7,76.5
C076,2016,8,71.7
C076,2016,9,77.9
C076,2016,10,82.9
C076,2016,11,87.0
C076,2016,12,93.0
C056,2016,1,90.9
C056,2016,2,90.3
C056,2016,3,88.8
C056,2016,4,83.1
C056,2016,5,80.4
C056,2016,6,80.5
C056,2016,7,77.9
C056,2016,8,69.7
C056,2016,9,78.6
C056,2016,10,84.1
C056,2016,11,93.1
C035,2016,1,91.9
C035,2016,2,94.2
C035,2016,3,95.3
C035,2016,4,89.4
C035,2016,5,83.0
C035,2016,6,85.8
C035,2016,7,88.6
C035,2016,8,83.7
C035,2016,9,87.1
C035,2016,10,93.4
C035,2016,11,96.8
C035,2016,12,98.5
C001,2016,1,85.6
C001,2016,2,86.1
C001,2016,3,83.1
C001,2016,4,80.2
C001,2016,5,78.1
C001,2016,6,77.7
C001,2016,7,76.1
C001,2016,8,71.1
C001,2016,9,77.2
C001,2016,10,82.7
C001,2016,11,87.6
C001,2016,12,94.1
C025,2016,1,85.2
C025,2016,2,86.7
C025,2016,3,87.8
C025,2016,4,81.9
C025,2016,5,80.5
C025,2016,6,83.9
C025,2016,7,84.9
C025,2016,8,74.5
C025,2016,9,77.9
C025,2016,10,81.8
C025,2016,11,87.2
C025,2016,12,92.2
C034,2016,1,84.4
C034,2016,2,82.0
C034,2016,3,80.4
C034,2016,4,77.7
C034,2016,5,76.3
C034,2016,6,73.8
C034,2016,7,67.9
C034,2016,8,63.6
C034,2016,9,69.6
C034,2016,10,75.2
C034,2016,11,83.3
C034,2016,12,93.8
C0AA,2016,1,88.2
C0AA,2016,2,87.8
C0AA,2016,3,85.8
C0AA,2016,4,81.3
C0AA,2016,5,81.1
C0AA,2016,6,80.2
C0AA,2016,7,78.0
C0AA,2016,8,71.5
C0AA,2016,9,77.5
C0AA,2016,10,82.0
C0AA,2016,11,87.1
C0AA,2016,12,94.7
C067,2016,1,77.5
C067,2016,2,80.2
C067,2016,3,80.5
C067,2016,4,69.9
C067,2016,5,71.1
C067,2016,6,73.9
C067,2016,7,74.4
C067,2016,8,69.8
C067,2016,9,74.6
C067,2016,10,76.8
C067,2016,11,81.7
C067,2016,12,81.4
C040,2016,1,79.3
C040,2016,2,79.4
C040,2016,3,76.5
C040,2016,4,71.8
C040,2016,5,70.2
C040,2016,6,73.1
C040,2016,7,74.2
C040,2016,8,67.9
C040,2016,9,72.2
C040,2016,10,75.5
C040,2016,11,79.3
C040,2016,12,89.9
C044,2016,1,95.8
C044,2016,2,88.0
C044,2016,3,85.7
C044,2016,4,82.6
C044,2016,5,80.2
C044,2016,6,84.1
C044,2016,7,85.3
C044,2016,8,80.1
C044,2016,9,83.8
C044,2016,10,88.5
C044,2016,11,91.3
C044,2016,12,95.1
C048,2016,1,94.8
C048,2016,2,92.7
C048,2016,3,94.0
C048,2016,4,88.9
C048,2016,5,79.0
C048,2016,6,79.2
C048,2016,7,80.8
C048,2016,8,71.0
C048,2016,9,76.0
C048,2016,10,78.1
C048,2016,11,88.2
C048,2016,12,77.9
C068,2016,1,83.8
C068,2016,2,81.6
C068,2016,3,80.3
C068,2016,4,74.1
C068,2016,5,74.6
C068,2016,6,74.3
C068,2016,7,71.9
C068,2016,8,62.5
C068,2016,9,71.0
C068,2016,10,75.5
C068,2016,11,82.5
C068,2016,12,88.2
C024,2016,1,89.5
C024,2016,2,88.8
C024,2016,3,86.8
C024,2016,4,81.0
C024,2016,5,80.4
C024,2016,6,78.8
C024,2016,7,75.3
C024,2016,8,65.0
C024,2016,9,73.9
C024,2016,10,80.9
C024,2016,11,88.8
C024,2016,12,87.0
C00A,2016,1,85.6
C00A,2016,2,81.2
C00A,2016,3,78.4
C00A,2016,4,73.1
C00A,2016,5,72.8
C00A,2016,6,66.8
C00A,2016,7,63.2
C00A,2016,8,56.0
C00A,2016,9,65.7
C00A,2016,10,77.2
C00A,2016,11,85.0
C00A,2016,12,93.9
C047,2016,1,94.0
C047,2016,2,92.6
C047,2016,3,93.0
C047,2016,4,87.5
C047,2016,5,84.4
C047,2016,6,82.7
C047,2016,7,82.3
C047,2016,8,71.7
C047,2016,9,77.9
C047,2016,10,81.3
C047,2016,11,90.6
C047,2016,12,82.2
C031,2016,1,80.2
C031,2016,2,74.1
C031,2016,3,73.0
C031,2016,4,69.6
C031,2016,5,67.6
C031,2016,6,60.7
C031,2016,7,60.9
C031,2016,8,53.6
C031,2016,9,61.8
C031,2016,10,72.0
C031,2016,11,79.1
C031,2016,12,91.2
C041,2016,1,87.8
C041,2016,2,87.7
C041,2016,3,84.9
C041,2016,4,79.5
C041,2016,5,76.5
C041,2016,6,74.3
C041,2016,7,72.3
C041,2016,8,64.4
C041,2016,9,73.5
C041,2016,10,81.8
C041,2016,11,88.9
C041,2016,12,95.6
C055,2016,1,82.7
C055,2016,2,81.4
C055,2016,3,80.2
C055,2016,4,76.1
C055,2016,5,76.1
C055,2016,6,76.8
C055,2016,7,77.2
C055,2016,8,72.7
C055,2016,9,78.6
C055,2016,10,83.2
C055,2016,11,85.5
C055,2016,12,91.8
C060,2016,1,83.0
C060,2016,2,77.9
C060,2016,3,75.2
C060,2016,4,70.3
C060,2016,5,67.1
C060,2016,6,63.2
C060,2016,7,63.7
C060,2016,8,56.4
C060,2016,9,65.1
C060,2016,10,74.6
C060,2016,11,80.8
C060,2016,12,93.7
C021,2016,1,96.1
C021,2016,2,95.2
C021,2016,3,95.1
C021,2016,4,91.1
C021,2016,5,87.5
C021,2016,6,85.7
C021,2016,7,80.9
C021,2016,8,69.0
C021,2016,9,78.0
C021,2016,10,86.3
C021,2016,11,93.2
C021,2016,12,88.1
C030,2016,1,83.9
C030,2016,2,82.2
C030,2016,3,79.9
C030,2016,4,75.3
C030,2016,5,75.6
C030,2016,6,75.6
C030,2016,7,70.5
C030,2016,8,61.5
C030,2016,9,69.9
C030,2016,10,75.5
C030,2016,11,83.8
C030,2016,12,91.2
C051,2016,1,72.1
C051,2016,2,75.9
C051,2016,3,76.5
C051,2016,4,68.8
C051,2016,5,69.0
C051,2016,6,72.2
C051,2016,7,73.2
C051,2016,8,68.9
C051,2016,9,71.8
C051,2016,10,74.3
C051,2016,11,78.0
C051,2016,12,80.8
C0A0,2016,2,91.3
C0A0,2016,3,89.9
C0A0,2016,4,85.2
C0A0,2016,5,81.0
C0A0,2016,6,82.5
C0A0,2016,7,84.3
C0A0,2016,8,79.4
C0A0,2016,9,84.3
C0A0,2016,10,90.5
C0A0,2016,11,94.3
C0A0,2016,12,96.1
C049,2016,1,85.7
C049,2016,2,84.6
C049,2016,3,80.7
C049,2016,4,76.9
C049,2016,5,73.1
C049,2016,6,71.7
C049,2016,7,69.3
C049,2016,8,64.1
C049,2016,9,71.2
C049,2016,10,78.9
C049,2016,12,93.3
C020,2016,1,91.8
C020,2016,2,93.3
C020,2016,3,90.1
C020,2016,4,85.7
C020,2016,5,81.2
C020,2016,6,78.0
C020,2016,7,75.2
C020,2016,8,67.3
C020,2016,9,77.6
C020,2016,10,85.0
C020,2016,11,91.5
C070,2016,1,92.6
C070,2016,2,89.2
C070,2016,3,89.7
C070,2016,4,83.4
C070,2016,5,80.8
C070,2016,6,87.8
C070,2016,7,85.3
C070,2016,8,72.9
C070,2016,9,78.3
C070,2016,10,82.0
C070,2016,11,89.5
C070,2016,12,88.8
C050,2016,1,80.9
C050,2016,2,79.9
C050,2016,3,76.5
C050,2016,4,73.3
C050,2016,5,70.7
C050,2016,6,68.5
C050,2016,7,64.1
C050,2016,8,60.4
C050,2016,9,66.2
C050,2016,10,73.8
C050,2016,11,80.1
C050,2016,12,93.6
C0B1,2016,1,83.2
C0B1,2016,2,91.3
C0B1,2016,3,94.2
C0B1,2016,4,80.0
C0B1,2016,5,84.9
C0B1,2016,6,95.1
C0B1,2016,7,95.1
C0B1,2016,8,77.0
C0B1,2016,9,78.3
C0B1,2016,10,79.3
C0B1,2016,11,81.4
C0B1,2016,12,80.6
C079,2016,1,82.6
C079,2016,2,84.6
C079,2016,3,83.7
C079,2016,4,74.8
C079,2016,5,75.4
C079,2016,6,80.3
C079,2016,7,80.7
C079,2016,8,77.6
C079,2016,9,82.4
C079,2016,10,84.5
C079,2016,11,89.3
C079,2016,12,88.2
C0C1,2016,1,79.8
C0C1,2016,2,80.6
C0C1,2016,3,80.4
C0C1,2016,4,73.0
C0C1,2016,5,73.0
C0C1,2016,6,76.2
C0C1,2016,7,76.5
C0C1,2016,8,73.1
C0C1,2016,9,78.2
C0C1,2016,10,79.8
C0C1,2016,11,85.1
C0C1,2016,12,86.4
C061,2016,1,68.8
C061,2016,2,76.2
C061,2016,3,77.2
C061,2016,4,71.8
C061,2016,5,75.0
C061,2016,6,82.5
C061,2016,7,83.4
C061,2016,8,78.4
C061,2016,9,80.7
C061,2016,10,77.9
C061,2016,11,78.9
C061,2016,12,77.1
C032,2016,1,77.3
C032,2016,2,79.0
C032,2016,3,79.0
C032,2016,4,69.2
C032,2016,5,71.7
C032,2016,6,74.3
C032,2016,7,75.0
C032,2016,8,71.1
C032,2016,9,75.7
C032,2016,10,77.3
C032,2016,11,82.9
C032,2016,12,81.8
C002,2016,1,76.6
C002,2016,2,77.6
C002,2016,3,76.8
C002,2016,4,70.5
C002,2016,5,72.9
C002,2016,6,77.6
C002,2016,7,77.6
C002,2016,8,76.0
C002,2016,9,79.9
C002,2016,10,80.9
C002,2016,11,82.8
C002,2016,12,79.8
C0C2,2016,1,76.4
C0C2,2016,2,78.0
C0C2,2016,3,76.9
C0C2,2016,4,72.1
C0C2,2016,5,70.1
C0C2,2016,6,73.4
C0C2,2016,7,74.7
C0C2,2016,8,70.4
C0C2,2016,9,74.2
C0C2,2016,10,77.6
C0C2,2016,11,82.6
C0C2,2016,12,86.6
C069,2016,1,70.5
C069,2016,2,76.7
C069,2016,3,75.9
C069,2016,4,70.8
C069,2016,5,76.2
C069,2016,6,85.0
C069,2016,7,83.2
C069,2016,8,80.7
C069,2016,9,83.1
C069,2016,10,81.1
C069,2016,11,83.2
C069,2016,12,76.4
C0B6,2016,1,81.8
C0B6,2016,2,83.7
C0B6,2016,3,81.4
C0B6,2016,4,73.4
C0B6,2016,5,74.4
C0B6,2016,6,78.6
C0B6,2016,7,79.6
C0B6,2016,8,76.1
C0B6,2016,9,80.1
C0B6,2016,10,83.6
C0B6,2016,11,88.1
C0B6,2016,12,85.4
C0BE,2016,1,80.2
C0BE,2016,2,82.1
C0BE,2016,3,81.9
C0BE,2016,4,75.8
C0BE,2016,5,77.5
C0BE,2016,6,81.6
C0BE,2016,7,81.2
C0BE,2016,8,80.5
C0BE,2016,9,83.2
C0BE,2016,10,85.8
C0BE,2016,11,86.5
C0BE,2016,12,84.4
C065,2016,1,73.9
C065,2016,2,81.8
C065,2016,3,86.2
C065,2016,4,79.9
C065,2016,5,80.2
C065,2016,6,85.2
C065,2016,7,85.6
C065,2016,8,75.1
C065,2016,9,75.6
C065,2016,10,73.8
C065,2016,11,80.2
C065,2016,12,74.4
C003,2016,1,73.2
C003,2016,2,76.7
C003,2016,3,76.0
C003,2016,4,67.7
C003,2016,5,70.8
C003,2016,6,75.6
C003,2016,7,76.1
C003,2016,8,74.0
C003,2016,9,77.4
C003,2016,10,77.1
C003,2016,11,79.4
C003,2016,12,77.5
C039,2016,1,67.4
C039,2016,2,74.4
C039,2016,3,73.9
C039,2016,4,67.2
C039,2016,5,69.2
C039,2016,6,74.7
C039,2016,7,74.3
C039,2016,8,72.0
C039,2016,9,75.5
C039,2016,10,74.4
C039,2016,11,76.4
C039,2016,12,81.8
C074,2016,1,81.4
C074,2016,2,83.4
C074,2016,3,82.2
C074,2016,4,73.4
C074,2016,5,75.3
C074,2016,6,80.7
C074,2016,7,82.6
C074,2016,8,79.0
C074,2016,9,82.8
C074,2016,10,86.4
C074,2016,11,88.6
C074,2016,12,86.9
C038,2016,1,65.9
C038,2016,2,71.9
C038,2016,3,69.8
C038,2016,4,63.5
C038,2016,5,67.4
C038,2016,6,73.1
C038,2016,7,72.7
C038,2016,8,71.2
C038,2016,9,73.8
C038,2016,10,72.8
C038,2016,11,75.6
C038,2016,12,73.1
C033,2016,1,94.3
C033,2016,2,91.6
C033,2016,3,92.6
C033,2016,4,87.7
C033,2016,5,85.6
C033,2016,6,90.3
C033,2016,7,91.0
C033,2016,8,87.5
C033,2016,9,91.0
C033,2016,10,94.3
C033,2016,11,97.6
C033,2016,12,97.1
C0BD,2016,1,83.5
C0BD,2016,2,83.6
C0BD,2016,3,82.3
C0BD,2016,4,76.6
C0BD,2016,5,77.5
C0BD,2016,6,81.3
C0BD,2016,7,82.3
C0BD,2016,8,79.7
C0BD,2016,9,82.9
C0BD,2016,10,86.2
C0BD,2016,11,87.4
C0BD,2016,12,85.5
C036,2016,1,78.2
C036,2016,2,81.9
C036,2016,3,81.0
C036,2016,4,72.9
C036,2016,5,74.1
C036,2016,6,79.6
C036,2016,7,79.1
C036,2016,8,75.5
C036,2016,9,79.1
C036,2016,10,80.0
C036,2016,11,83.8
C036,2016,12,81.4
C045,2016,1,87.8
C045,2016,2,91.0
C045,2016,3,94.7
C045,2016,4,88.3
C045,2016,5,85.8
C045,2016,6,89.9
C045,2016,7,90.8
C045,2016,8,81.8
C045,2016,9,83.5
C045,2016,10,81.7
C045,2016,11,89.0
C045,2016,12,86.5
C0B7,2016,1,77.0
C0B7,2016,2,81.0
C0B7,2016,3,79.6
C0B7,2016,4,71.8
C0B7,2016,5,74.0
C0B7,2016,6,79.1
C0B7,2016,7,80.4
C0B7,2016,8,76.0
C0B7,2016,9,79.2
C0B7,2016,10,83.2
C0B7,2016,12,82.3
C019,2016,1,77.0
C019,2016,2,83.3
C019,2016,3,83.5
C019,2016,4,76.2
C019,2016,5,80.3
C019,2016,6,87.0
C019,2016,7,85.6
C019,2016,8,82.5
C019,2016,9,85.2
C019,2016,10,77.2
C019,2016,11,84.3
C019,2016,12,77.0
C057,2016,1,75.6
C057,2016,2,80.3
C057,2016,3,78.6
C057,2016,4,70.8
C057,2016,5,75.3
C057,2016,6,80.6
C057,2016,7,81.1
C057,2016,8,79.5
C057,2016,9,82.8
C057,2016,10,82.3
C057,2016,11,85.3
C057,2016,12,82.2
C063,2016,1,76.6
C063,2016,2,80.6
C063,2016,3,80.2
C063,2016,4,73.0
C063,2016,5,72.3
C063,2016,6,75.2
C063,2016,7,77.3
C063,2016,8,75.3
C063,2016,9,79.7
C063,2016,10,82.2
C063,2016,11,84.1
C063,2016,12,81.7
C046,2016,1,94.9
C046,2016,2,95.7
C046,2016,3,96.8
C046,2016,4,90.0
C046,2016,5,92.1
C046,2016,6,89.6
C046,2016,7,91.3
C046,2016,8,82.7
C046,2016,9,80.5
C046,2016,10,80.0
C046,2016,11,90.1
C046,2016,12,76.0
C0BA,2016,1,83.7
C0BA,2016,2,86.2
C0BA,2016,3,84.9
C0BA,2016,4,79.0
C0BA,2016,5,81.2
C0BA,2016,6,86.4
C0BA,2016,7,85.8
C0BA,2016,8,86.2
C0BA,2016,9,90.1
C0BA,2016,10,93.0
C0BA,2016,11,95.3
C0BA,2016,12,92.1
C059,2016,1,71.6
C059,2016,2,73.9
C059,2016,3,73.3
C059,2016,4,69.6
C059,2016,5,68.7
C059,2016,6,72.7
C059,2016,7,74.1
C059,2016,8,69.1
C059,2016,9,71.2
C059,2016,10,73.8
C059,2016,11,75.4
C059,2016,12,79.9
C072,2016,1,92.9
C072,2016,2,93.9
C072,2016,3,94.3
C072,2016,4,87.4
C072,2016,5,82.9
C072,2016,6,88.4
C072,2016,7,92.4
C072,2016,8,80.9
C072,2016,9,80.4
C072,2016,10,83.4
C072,2016,11,87.9
C072,2016,12,86.8
C0B4,2016,1,80.5
C0B4,2016,2,83.4
C0B4,2016,3,84.2
C0B4,2016,4,73.9
C0B4,2016,5,74.5
C0B4,2016,7,80.0
C0B4,2016,8,75.3
C0B4,2016,9,78.9
C0B4,2016,10,82.8
C0B4,2016,11,86.7
C0B4,2016,12,84.7
C054,2016,1,85.7
C054,2016,2,86.8
C054,2016,3,85.7
C054,2016,4,79.6
C054,2016,5,80.0
C054,2016,6,81.8
C054,2016,7,82.8
C054,2016,8,78.8
C054,2016,9,82.8
C054,2016,10,86.0
C054,2016,11,89.5
C054,2016,12,92.2
C042,2016,1,66.4
C042,2016,2,72.6
C042,2016,3,70.7
C042,2016,4,66.3
C042,2016,5,73.0
C042,2016,6,78.3
C042,2016,7,76.0
C042,2016,8,76.1
C042,2016,9,77.7
C042,2016,10,74.9
C042,2016,11,74.7
C042,2016,12,73.4
C0B9,2016,1,76.5
C0B9,2016,2,81.1
C0B9,2016,3,79.9
C0B9,2016,4,73.9
C0B9,2016,5,77.0
C0B9,2016,6,81.4
C0B9,2016,7,81.7
C0B9,2016,8,80.5
C0B9,2016,9,84.4
C0B9,2016,10,85.9
C0B9,2016,11,87.2
C0B9,2016,12,85.2
C0C3,2016,1,80.3
C0C3,2016,2,82.1
C0C3,2016,3,81.3
C0C3,2016,4,71.6
C0C3,2016,5,72.8
C0C3,2016,6,75.9
C0C3,2016,7,75.9
C0C3,2016,8,72.0
C0C3,2016,9,77.8
C0C3,2016,10,79.1
C0C3,2016,11,84.1
C0C3,2016,12,83.4
C066,2016,1,81.8
C066,2016,2,86.5
C066,2016,3,89.5
C066,2016,4,80.4
C066,2016,5,80.2
C066,2016,6,85.0
C066,2016,7,87.4
C066,2016,9,78.2
C066,2016,10,75.1
C066,2016,11,82.5
C022,2016,1,88.3
C022,2016,2,87.4
C022,2016,3,86.1
C022,2016,4,80.8
C022,2016,5,80.6
C022,2016,6,83.3
C022,2016,7,85.6
C022,2016,8,79.3
C022,2016,9,82.4
C022,2016,10,84.1
C022,2016,11,88.2
C022,2016,12,89.2
C0B3,2016,1,83.6
C0B3,2016,2,86.7
C0B3,2016,3,86.9
C0B3,2016,4,77.2
C0B3,2016,5,77.8
C0B3,2016,6,82.1
C0B3,2016,7,82.3
C0B3,2016,8,78.2
C0B3,2016,9,83.5
C0B3,2016,10,85.7
C0B3,2016,11,89.5
C0B3,2016,12,86.1
C037,2016,1,70.7
C037,2016,2,77.1
C037,2016,3,77.0
C037,2016,4,68.9
C037,2016,5,72.9
C037,2016,6,77.6
C037,2016,7,77.8
C037,2016,8,73.5
C037,2016,9,77.5
C037,2016,10,77.6
C037,2016,11,79.2
C037,2016,12,79.6
C0E5,2016,1,82.0
C0E5,2016,2,80.7
C0E5,2016,3,79.3
C0E5,2016,4,72.0
C0E5,2016,5,74.3
C0E5,2016,6,77.4
C0E5,2016,7,79.7
C0E5,2016,8,74.9
C0E5,2016,9,79.4
C0E5,2016,10,83.0
C0E5,2016,11,85.3
C0E5,2016,12,83.5
C0DB,2016,1,81.3
C0DB,2016,2,82.7
C0DB,2016,3,81.5
C0DB,2016,4,73.8
C0DB,2016,5,74.3
C0DB,2016,6,77.6
C0DB,2016,7,80.9
C0DB,2016,8,76.7
C0DB,2016,9,80.6
C0DB,2016,10,86.1
C0DB,2016,11,86.2
C0DB,2016,12,85.8
C0D3,2016,1,83.5
C0D3,2016,2,85.2
C0D3,2016,3,83.4
C0D3,2016,4,76.8
C0D3,2016,5,78.8
C0D3,2016,6,83.6
C0D3,2016,7,86.9
C0D3,2016,8,84.1
C0D3,2016,9,86.4
C0D3,2016,10,88.5
C0D3,2016,11,89.1
C0D3,2016,12,87.4
C0DD,2016,1,80.7
C0DD,2016,2,85.2
C0DD,2016,3,85.6
C0DD,2016,4,77.0
C0DD,2016,5,79.4
C0DD,2016,6,86.5
C0DD,2016,7,87.6
C0DD,2016,8,85.6
C0DD,2016,9,87.4
C0DD,2016,10,92.3
C0DD,2016,11,91.8
C0DD,2016,12,84.9
C0E9,2016,1,88.4
C0E9,2016,2,86.6
C0E9,2016,3,83.8
C0E9,2016,4,79.5
C0E9,2016,5,80.5
C0E9,2016,6,77.7
C0E9,2016,7,79.5
C0E9,2016,8,76.9
C0E9,2016,9,83.4
C0E9,2016,10,88.6
C0E9,2016,11,93.9
C0E9,2016,12,94.0
C078,2016,1,82.5
C078,2016,2,82.6
C078,2016,3,81.7
C078,2016,4,74.6
C078,2016,5,76.1
C078,2016,6,79.8
C078,2016,7,80.8
C078,2016,8,78.9
C078,2016,9,81.6
C078,2016,10,85.0
C078,2016,11,85.4
C078,2016,12,83.0
C052,2016,1,78.8
C052,2016,2,78.6
C052,2016,3,77.2
C052,2016,4,71.3
C052,2016,5,75.6
C052,2016,6,82.4
C052,2016,7,84.1
C052,2016,8,80.2
C052,2016,9,82.7
C052,2016,10,82.3
C052,2016,11,82.2
C052,2016,12,78.8
C0E1,2016,1,83.0
C0E1,2016,2,85.6
C0E1,2016,3,85.8
C0E1,2016,4,74.9
C0E1,2016,5,79.6
C0E1,2016,6,83.2
C0E1,2016,7,85.6
C0E1,2016,8,80.9
C0E1,2016,9,84.0
C0E1,2016,10,87.5
C0E1,2016,11,89.5
C0E1,2016,12,88.6
C077,2016,1,82.8
C077,2016,2,81.6
C077,2016,3,80.3
C077,2016,4,73.4
C077,2016,5,75.4
C077,2016,6,81.5
C077,2016,7,84.6
C077,2016,8,82.5
C077,2016,9,84.7
C077,2016,10,88.3
C077,2016,11,88.5
C077,2016,12,84.1
C080,2016,1,88.0
C080,2016,2,87.8
C080,2016,3,86.4
C080,2016,4,81.1
C080,2016,5,82.9
C080,2016,6,90.3
C080,2016,7,91.2
C080,2016,8,88.6
C080,2016,9,90.6
C080,2016,10,92.5
C080,2016,11,93.8
C080,2016,12,89.2
C0E8,2016,1,78.8
C0E8,2016,2,78.8
C0E8,2016,4,78.7
C023,2016,1,77.2
C023,2016,2,80.2
C023,2016,3,79.3
C023,2016,4,71.9
C023,2016,5,72.6
C023,2016,6,75.0
C023,2016,7,76.2
C023,2016,8,71.3
C023,2016,9,75.2
C023,2016,10,78.0
C023,2016,11,81.4
C023,2016,12,81.9
C084,2016,1,73.5
C084,2016,2,77.1
C084,2016,3,74.5
C084,2016,4,68.6
C084,2016,5,71.6
C084,2016,6,78.8
C084,2016,7,76.7
C084,2016,8,75.6
C084,2016,9,76.9
C084,2016,10,75.8
C084,2016,11,79.6
C084,2016,12,72.5
C0EA,2016,1,83.1
C0EA,2016,2,81.6
C0EA,2016,3,78.5
C0EA,2016,4,74.8
C0EA,2016,5,79.1
C0EA,2016,6,82.0
C0EA,2016,7,82.9
C0EA,2016,8,81.7
C0EA,2016,9,86.0
C0EA,2016,10,89.5
C0EA,2016,11,91.7
C0EA,2016,12,93.4
C026,2016,1,80.3
C026,2016,2,80.3
C026,2016,3,80.8
C026,2016,4,74.1
C026,2016,5,77.3
C026,2016,6,81.2
C026,2016,7,82.7
C026,2016,8,77.3
C026,2016,9,79.8
C026,2016,10,84.9
C026,2016,11,87.2
C026,2016,12,85.0
C058,2016,1,84.6
C058,2016,2,86.9
C058,2016,3,88.9
C058,2016,4,80.4
C058,2016,5,82.9
C058,2016,6,87.2
C058,2016,7,88.9
C058,2016,8,80.5
C058,2016,9,84.9
C058,2016,10,83.7
C058,2016,11,88.0
C058,2016,12,81.4
C0F0,2016,1,90.6
C0F0,2016,2,90.8
C0F0,2016,3,88.2
C0F0,2016,4,84.7
C0F0,2016,5,86.4
C0F0,2016,6,92.1
C0F0,2016,7,90.3
