code,year,month,irradiacion_media_diaria
C035,2016,1,4.5
C035,2016,2,6.8
C035,2016,3,8.0
C035,2016,4,14.5
C035,2016,5,19.4
C035,2016,6,20.9
C035,2016,7,19.7
C035,2016,8,21.0
C035,2016,9,15.4
C035,2016,10,10.5
C035,2016,11,5.5
C035,2016,12,5.0
C001,2016,1,5.0
C001,2016,2,7.1
C001,2016,3,9.7
C001,2016,4,15.2
C001,2016,5,19.2
C001,2016,6,21.3
C001,2016,7,21.9
C001,2016,8,21.8
C001,2016,9,15.1
C001,2016,10,10.6
C001,2016,11,5.8
C001,2016,12,4.4
C034,2016,3,7.0
C034,2016,4,14.5
C034,2016,5,19.0
C034,2016,6,21.3
C034,2016,7,22.0
C034,2016,8,21.1
C034,2016,9,14.9
C034,2016,10,10.4
C034,2016,11,5.3
C034,2016,12,3.6
C0AA,2016,2,7.6
C0AA,2016,3,10.0
C0AA,2016,4,15.0
C0AA,2016,5,19.5
C0AA,2016,6,21.1
C0AA,2016,7,21.8
C0AA,2016,8,21.6
C0AA,2016,9,15.4
C0AA,2016,10,10.4
C0AA,2016,11,5.4
C0AA,2016,12,4.3
C040,2016,1,5.0
C040,2016,2,7.3
C040,2016,3,10.0
C040,2016,4,15.4
C040,2016,5,20.5
C040,2016,6,21.1
C040,2016,7,21.6
C040,2016,8,21.7
C040,2016,9,15.3
C040,2016,10,10.7
C040,2016,11,6.0
C040,2016,12,5.0
C024,2016,1,4.1
C024,2016,2,6.8
C024,2016,3,9.2
C024,2016,4,13.5
C024,2016,5,16.8
C024,2016,6,20.8
C024,2016,7,21.1
C024,2016,8,21.8
C024,2016,9,14.6
C024,2016,10,10.1
C024,2016,11,4.9
C024,2016,12,5.3
C00A,2016,7,21.9
C00A,2016,8,22.5
C00A,2016,9,15.3
C00A,2016,10,10.5
C00A,2016,11,5.3
C00A,2016,12,4.5
C031,2016,1,4.7
C031,2016,2,8.5
C031,2016,3,11.3
C031,2016,4,16.5
C031,2016,5,20.7
C031,2016,6,24.3
C031,2016,7,23.6
C031,2016,8,23.1
C031,2016,9,15.8
C031,2016,10,10.6
C031,2016,11,6.1
C031,2016,12,4.0
C041,2016,1,4.1
C041,2016,2,7.4
C041,2016,3,9.3
C041,2016,4,14.6
C041,2016,5,19.7
C041,2016,6,21.6
C041,2016,7,21.6
C041,2016,8,22.1
C041,2016,9,15.0
C041,2016,10,10.5
C041,2016,11,5.5
C041,2016,12,4.3
C060,2016,1,4.4
C060,2016,2,8.5
C060,2016,3,11.0
C060,2016,4,16.3
C060,2016,5,20.6
C060,2016,6,24.6
C060,2016,7,24.0
C060,2016,8,23.1
C060,2016,9,15.9
C060,2016,10,11.1
C060,2016,11,6.4
C060,2016,12,4.3
C030,2016,1,5.0
C030,2016,2,7.4
C030,2016,3,9.9
C030,2016,4,15.3
C030,2016,5,18.9
C030,2016,6,20.6
C030,2016,7,21.3
C030,2016,8,21.5
C030,2016,9,15.0
C030,2016,10,10.1
C030,2016,11,5.5
C030,2016,12,5.0
C051,2016,1,4.5
C051,2016,2,6.6
C051,2016,3,8.4
C051,2016,4,13.4
C051,2016,5,19.3
C051,2016,6,19.4
C051,2016,7,16.9
C051,2016,8,19.7
C051,2016,9,14.6
C051,2016,10,9.7
C051,2016,11,5.1
C051,2016,12,5.1
C020,2016,1,4.7
C020,2016,2,7.5
C020,2016,3,9.5
C020,2016,4,15.1
C020,2016,5,20.0
C020,2016,6,20.9
C020,2016,7,21.6
C020,2016,8,22.3
C020,2016,9,15.4
C020,2016,10,10.9
C020,2016,11,5.7
C020,2016,12,4.3
C050,2016,1,4.4
C050,2016,2,7.7
C050,2016,3,9.6
C050,2016,4,15.7
C050,2016,5,19.7
C050,2016,6,22.3
C050,2016,7,22.4
C050,2016,8,21.7
C050,2016,9,15.2
C050,2016,10,11.0
C050,2016,11,5.8
C050,2016,12,3.5
C061,2016,1,4.4
C061,2016,2,6.6
C061,2016,3,8.5
C061,2016,4,11.1
C061,2016,5,17.9
C061,2016,6,19.3
C061,2016,7,14.9
C061,2016,8,17.9
C061,2016,9,13.8
C061,2016,10,9.5
C061,2016,11,5.1
C061,2016,12,5.2
C002,2016,3,9.5
C002,2016,4,14.5
C002,2016,5,19.0
C002,2016,6,19.6
C002,2016,7,17.0
C002,2016,8,19.4
C002,2016,9,14.6
C002,2016,10,10.4
C002,2016,11,5.6
C069,2016,1,4.7
C069,2016,2,6.9
C069,2016,3,9.8
C069,2016,4,15.3
C069,2016,5,20.4
C069,2016,6,20.6
C069,2016,7,17.8
C069,2016,8,19.6
C069,2016,9,14.7
C069,2016,10,9.5
C069,2016,11,5.2
C069,2016,12,5.0
C065,2016,1,4.4
C065,2016,2,6.1
C065,2016,3,8.2
C065,2016,4,12.0
C065,2016,5,18.7
C065,2016,6,18.4
C065,2016,7,17.1
C065,2016,8,19.4
C065,2016,9,14.2
C065,2016,10,9.6
C065,2016,11,4.8
C065,2016,12,5.4
C003,2016,1,4.5
C003,2016,2,6.7
C003,2016,3,9.0
C003,2016,4,14.1
C003,2016,5,19.1
C003,2016,6,19.3
C003,2016,7,16.5
C003,2016,8,19.2
C003,2016,9,14.2
C003,2016,10,9.7
C003,2016,11,5.1
C003,2016,12,5.2
C039,2016,1,4.7
C039,2016,2,6.9
C039,2016,3,9.2
C039,2016,4,14.3
C039,2016,5,19.5
C039,2016,6,20.0
C039,2016,7,17.1
C039,2016,8,19.5
C039,2016,9,14.4
C039,2016,10,9.8
C039,2016,11,5.5
C039,2016,12,5.4
C033,2016,1,4.4
C033,2016,2,6.4
C033,2016,3,8.5
C033,2016,4,12.6
C033,2016,5,17.5
C033,2016,6,18.9
C033,2016,7,15.9
C033,2016,8,18.6
C033,2016,9,14.5
C033,2016,10,10.8
C033,2016,11,5.8
C036,2016,1,4.8
C036,2016,2,6.7
C036,2016,3,9.0
C036,2016,4,13.3
C036,2016,5,18.4
C036,2016,6,18.9
C036,2016,7,17.2
C036,2016,8,18.9
C036,2016,9,13.9
C036,2016,10,9.5
C036,2016,11,5.1
C036,2016,12,5.4
C019,2016,1,4.3
C019,2016,2,6.2
C019,2016,3,9.3
C019,2016,4,14.4
C019,2016,5,18.2
C019,2016,6,18.4
C019,2016,7,16.8
C019,2016,8,17.7
C019,2016,9,13.6
C019,2016,10,9.3
C019,2016,11,4.8
C019,2016,12,4.7
C057,2016,1,4.5
C057,2016,2,6.9
C057,2016,3,9.3
C057,2016,4,13.7
C057,2016,5,19.8
C057,2016,6,19.8
C057,2016,7,17.2
C057,2016,8,19.3
C057,2016,9,14.5
C057,2016,10,9.6
C057,2016,11,5.3
C057,2016,12,5.1
C059,2016,1,4.7
C059,2016,2,6.8
C059,2016,3,8.8
C059,2016,4,13.3
C059,2016,5,18.9
C059,2016,6,20.1
C059,2016,7,18.0
C059,2016,8,20.1
C059,2016,9,14.7
C059,2016,10,10.0
C059,2016,11,5.1
C059,2016,12,5.5
C054,2016,1,4.3
C054,2016,2,6.6
C054,2016,3,8.7
C054,2016,4,13.1
C054,2016,5,17.6
C054,2016,6,19.6
C054,2016,7,17.7
C054,2016,8,19.9
C054,2016,9,14.7
C054,2016,10,9.8
C054,2016,11,5.2
C054,2016,12,4.5
C042,2016,1,4.7
C042,2016,2,7.3
C042,2016,3,9.9
C042,2016,4,15.5
C042,2016,5,21.1
C042,2016,6,21.7
C042,2016,7,19.1
C042,2016,8,20.8
C042,2016,9,14.7
C042,2016,10,10.2
C042,2016,11,5.5
C042,2016,12,5.3
C022,2016,1,4.3
C022,2016,2,6.2
C022,2016,3,7.8
C022,2016,4,12.5
C022,2016,5,16.4
C022,2016,6,17.8
C022,2016,7,15.8
C022,2016,8,18.7
C022,2016,9,14.0
C022,2016,10,9.7
C022,2016,11,5.2
C022,2016,12,4.8
C037,2016,1,4.6
C037,2016,2,6.7
C037,2016,3,8.6
C037,2016,4,13.4
C037,2016,5,18.2
C037,2016,6,19.1
C037,2016,7,16.5
C037,2016,8,19.1
C037,2016,9,13.8
C037,2016,10,9.8
C037,2016,11,5.2
C037,2016,12,5.2
C023,2016,1,4.9
C023,2016,2,6.5
C023,2016,3,8.7
C023,2016,4,13.4
C023,2016,5,18.5
C023,2016,6,18.7
C023,2016,7,16.5
C023,2016,8,18.7
C023,2016,9,14.7
C023,2016,10,9.6
C023,2016,11,5.5
C023,2016,12,5.2
C058,2016,1,4.6
C058,2016,2,6.5
C058,2016,3,8.5
C058,2016,4,13.4
C058,2016,5,16.1
C058,2016,6,19.1
C058,2016,7,16.1
C058,2016,8,19.0
C058,2016,9,15.3
C058,2016,10,9.7
C058,2016,11,5.3
C058,2016,12,5.5
C018,2016,1,4.4
C018,2016,2,7.2
C018,2016,3,10.7
C018,2016,4,14.7
C018,2016,5,19.2
C018,2016,6,20.4
C018,2016,7,18.5
C018,2016,8,20.2
C018,2016,9,15.7
C018,2016,10,9.8
C018,2016,11,5
C018,2016,12,5.1
C0DC,2016,1,4.1
C0DC,2016,2,6.6
C0DC,2016,3,9.4
C0DC,2016,4,13.9
C0DC,2016,5,17.9
C0DC,2016,6,20.3
C0DC,2016,7,16.9
C0DC,2016,8,18.1
C0DC,2016,9,15.4
C0DC,2016,10,9.9
C0DC,2016,11,5
C0DC,2016,12,4.2
C0EC,2016,1,4.1
C0EC,2016,2,6.2
C0EC,2016,3,8.7
C0EC,2016,4,12.8
C0EC,2016,5,16.8
C0EC,2016,6,18.3
C0EC,2016,7,15.1
C0EC,2016,8,17.9
C0EC,2016,9,14.7
C0EC,2016,10,9.2
C0EC,2016,11,5
C0EC,2016,12,5.0
C043,2016,1,4.3
C043,2016,2,6.4
C043,2016,3,8.8
C043,2016,4,14.1
C043,2016,5,18.3
C043,2016,6,19.2
C043,2016,7,17.1
C043,2016,8,20.4
C043,2016,9,16.4
C043,2016,10,9.0
C043,2016,11,4.9
C043,2016,12,5.0
C007,2016,1,4.4
C007,2016,2,6.7
C007,2016,3,9.8
C007,2016,4,13.8
C007,2016,5,18.4
C007,2016,6,19.5
C007,2016,7,16.6
C007,2016,8,18.1
C007,2016,9,15.7
C007,2016,10,10.3
C007,2016,11,5.6
C007,2016,12,5.1
C029,2016,1,4.3
C029,2016,2,6.1
C029,2016,3,8.8
C029,2016,4,13.1
C029,2016,5,17.4
C029,2016,6,17.9
C029,2016,7,15
C029,2016,8,18.2
C029,2016,9,14.6
C029,2016,10,9.3
C029,2016,11,5.1
C029,2016,12,5.3
C035,2017,1,5.3
C035,2017,2,8.2
C035,2017,3,13.3
C035,2017,4,18.8
C035,2017,5,21.3
C035,2017,6,18.5
C035,2017,7,21.7
C035,2017,8,19.3
C035,2017,9,14.7
C035,2017,10,10.9
C035,2017,11,6.3
C035,2017,12,3.9
C016,2017,1,5.7
C016,2017,2,8.0
C016,2017,3,13.4
C016,2017,4,20.1
C016,2017,5,21.3
C016,2017,6,19.4
C016,2017,7,22.8
C016,2017,8,19.2
C016,2017,9,14.2
C016,2017,10,10.8
C016,2017,11,6.1
C016,2017,12,4.2
C034,2017,1,6.7
C034,2017,2,8.6
C034,2017,3,13.4
C034,2017,4,20.2
C034,2017,5,22.6
C034,2017,6,23.6
C0AA,2017,1,5.6
C0AA,2017,2,7.8
C0AA,2017,3,13.5
C0AA,2017,4,19.9
C0AA,2017,5,21.2
C0AA,2017,6,20.0
C0AA,2017,7,23.3
C0AA,2017,8,19.5
C0AA,2017,9,14.7
C0AA,2017,10,10.5
C0AA,2017,11,6.3
C0AA,2017,12,4.3
C040,2017,1,6.1
C040,2017,2,8.5
C040,2017,3,13.9
C040,2017,4,19.6
C040,2017,5,21.5
C040,2017,6,20.0
C040,2017,7,22.9
C040,2017,8,19.3
C040,2017,9,14.7
C040,2017,10,11.0
C040,2017,11,6.5
C040,2017,12,4.5
C048,2017,1,5.6
C048,2017,2,7.7
C048,2017,3,12.9
C048,2017,4,19.3
C048,2017,5,19.8
C048,2017,6,19.5
C048,2017,7,21.8
C048,2017,8,18.6
C048,2017,9,14.2
C048,2017,10,11.5
C048,2017,11,6.0
C048,2017,12,3.5
C024,2017,1,6.1
C024,2017,2,7.9
C024,2017,3,13.1
C024,2017,4,19.5
C024,2017,5,21.4
C024,2017,6,20.8
C024,2017,7,23.8
C024,2017,8,18.8
C024,2017,9,14.0
C024,2017,10,11.0
C024,2017,11,5.4
C024,2017,12,3.8
C00A,2017,1,5.8
C00A,2017,2,7.7
C00A,2017,3,13.4
C00A,2017,4,20.9
C00A,2017,5,21.8
C00A,2017,6,21.5
C00A,2017,7,24.5
C00A,2017,8,19.9
C00A,2017,9,14.4
C00A,2017,10,11.1
C00A,2017,11,6.0
C00A,2017,12,4.0
C031,2017,1,6.2
C031,2017,2,8.2
C031,2017,3,13.9
C031,2017,4,21.6
C031,2017,5,22.0
C031,2017,6,22.6
C031,2017,7,25.1
C031,2017,8,20.8
C031,2017,9,15.6
C031,2017,10,12.1
C031,2017,11,6.4
C031,2017,12,4.5
C041,2017,1,5.8
C041,2017,2,7.7
C041,2017,3,13.3
C041,2017,4,20.5
C041,2017,5,21.7
C041,2017,6,21.1
C041,2017,7,24.1
C041,2017,8,19.6
C041,2017,9,14.6
C041,2017,10,10.9
C041,2017,11,5.9
C041,2017,12,3.7
C060,2017,1,6.4
C060,2017,2,8.4
C060,2017,3,13.9
C060,2017,4,21.4
C060,2017,5,21.9
C060,2017,6,22.7
C060,2017,7,24.8
C060,2017,8,20.8
C060,2017,9,16.3
C060,2017,10,11.4
C060,2017,11,6.4
C060,2017,12,4.9
C030,2017,1,5.8
C030,2017,2,8.0
C030,2017,3,13.1
C030,2017,4,19.6
C030,2017,5,21.1
C030,2017,6,20.0
C030,2017,7,23.4
C030,2017,8,19.1
C030,2017,9,14.3
C030,2017,10,10.9
C030,2017,11,6.0
C030,2017,12,4.3
C051,2017,1,5.2
C051,2017,2,7.8
C051,2017,3,12.3
C051,2017,4,18.0
C051,2017,5,20.3
C051,2017,6,16.6
C051,2017,7,19.3
C051,2017,8,17.8
C051,2017,9,13.5
C051,2017,10,10.0
C051,2017,11,6.0
C051,2017,12,3.9
C020,2017,1,5.7
C020,2017,2,7.9
C020,2017,3,13.6
C020,2017,4,19.9
C020,2017,5,21.5
C020,2017,6,20.6
C020,2017,7,23.3
C020,2017,8,19.6
C020,2017,9,15.1
C020,2017,10,11.1
C020,2017,11,6.2
C020,2017,12,4.2
C050,2017,1,5.7
C050,2017,2,7.3
C050,2017,3,13.7
C050,2017,4,20.0
C050,2017,5,20.8
C050,2017,6,20.2
C050,2017,7,23.1
C050,2017,8,19.2
C050,2017,9,14.6
C050,2017,10,11.0
C050,2017,11,6.2
C050,2017,12,3.9
C061,2017,1,5.4
C061,2017,2,7.9
C061,2017,3,10.8
C061,2017,4,17.1
C061,2017,5,14.8
C061,2017,6,15.3
C061,2017,7,15.5
C061,2017,8,15.3
C061,2017,9,12.8
C061,2017,10,9.8
C061,2017,11,5.7
C061,2017,12,3.8
C002,2017,1,5.3
C002,2017,2,7.7
C002,2017,3,9.4
C002,2017,4,18.2
C002,2017,5,20.5
C002,2017,6,16.8
C002,2017,7,18.2
C002,2017,8,17.0
C002,2017,9,12.3
C002,2017,10,9.1
C002,2017,11,5.6
C002,2017,12,3.4
C069,2017,1,5.5
C069,2017,2,7.7
C069,2017,3,10.8
C069,2017,4,18.6
C069,2017,5,21.6
C069,2017,6,17.9
C069,2017,7,19.4
C069,2017,8,17.0
C069,2017,9,13.0
C069,2017,10,9.5
C069,2017,11,6.1
C069,2017,12,3.8
C065,2017,1,5.4
C065,2017,2,7.5
C065,2017,3,11.2
C065,2017,4,19.9
C065,2017,5,19.9
C065,2017,6,15.3
C065,2017,7,15.7
C065,2017,8,15.6
C065,2017,9,12.9
C065,2017,10,10.6
C065,2017,11,6.0
C065,2017,12,3.6
C003,2017,1,5.6
C003,2017,2,7.7
C003,2017,3,11.1
C003,2017,4,17.5
C003,2017,5,19.8
C003,2017,6,15.8
C003,2017,7,17.4
C003,2017,8,16.2
C003,2017,9,13.0
C003,2017,10,9.8
C003,2017,11,5.6
C003,2017,12,3.7
C039,2017,1,5.6
C039,2017,2,8.1
C039,2017,3,11.2
C039,2017,4,17.7
C039,2017,5,20.4
C039,2017,6,16.3
C039,2017,7,17.9
C039,2017,8,16.6
C039,2017,9,13.3
C039,2017,10,9.9
C039,2017,11,6.0
C039,2017,12,4.0
C033,2017,1,5.4
C033,2017,2,8.0
C033,2017,3,11.1
C033,2017,4,17.5
C033,2017,5,19.7
C033,2017,6,15.8
C033,2017,7,18.0
C033,2017,8,16.6
C033,2017,9,12.5
C033,2017,10,10.0
C033,2017,11,5.6
C033,2017,12,3.6
C036,2017,1,5.6
C036,2017,2,8.4
C036,2017,3,11.7
C036,2017,4,18.4
C036,2017,5,20.8
C036,2017,6,16.6
C036,2017,7,18.9
C036,2017,8,17.3
C036,2017,9,13.4
C036,2017,10,10.4
C036,2017,11,6.0
C036,2017,12,3.8
C019,2017,1,5.2
C019,2017,2,7.1
C019,2017,3,10.0
C019,2017,4,17.9
C019,2017,5,19.9
C019,2017,6,15.8
C019,2017,7,16.5
C019,2017,8,15.8
C019,2017,9,12.5
C019,2017,10,9.2
C019,2017,11,5.8
C019,2017,12,3.6
C057,2017,1,5.5
C057,2017,2,8.0
C057,2017,3,10.6
C057,2017,4,17.7
C057,2017,5,20.6
C057,2017,6,16.8
C057,2017,7,18.2
C057,2017,8,17.1
C057,2017,9,12.8
C057,2017,10,9.8
C057,2017,11,5.8
C057,2017,12,3.8
G059,2017,1,5.3
G059,2017,2,8.3
G059,2017,3,12.9
G059,2017,4,18.0
G059,2017,5,20.3
G059,2017,6,17.7
G059,2017,7,19.4
G059,2017,8,17.5
G059,2017,9,13.8
G059,2017,10,10.4
G059,2017,11,5.9
G059,2017,12,4.1
C054,2017,1,5.8
C054,2017,2,8.1
C054,2017,3,12.8
C054,2017,4,18.4
C054,2017,5,20.5
C054,2017,6,17.9
C054,2017,7,20.0
C054,2017,8,18.0
C054,2017,9,13.2
C054,2017,10,10.3
C054,2017,11,5.8
C054,2017,12,3.7
C042,2017,1,5.3
C042,2017,2,8.4
C042,2017,3,11.4
C042,2017,4,18.4
C042,2017,5,20.8
C042,2017,6,17.5
C042,2017,7,19.8
C042,2017,8,18.0
C042,2017,9,14.0
C042,2017,10,10.1
C042,2017,11,6.3
C042,2017,12,3.6
C022,2017,1,5.7
C022,2017,2,7.9
C022,2017,3,12.2
C022,2017,4,17.7
C022,2017,5,20.0
C022,2017,6,15.7
C022,2017,7,17.5
C022,2017,8,16.7
C022,2017,9,12.5
C022,2017,10,10.1
C022,2017,11,5.6
C022,2017,12,3.4
C037,2017,1,5.6
C037,2017,2,8.1
C037,2017,3,11.4
C037,2017,4,17.4
C037,2017,5,20.2
C037,2017,6,15.7
C037,2017,7,17.9
C037,2017,8,17.0
C037,2017,9,13.2
C037,2017,10,10.0
C037,2017,11,5.8
C037,2017,12,3.9
C023,2017,1,5.5
C023,2017,2,8.0
C023,2017,3,12.7
C023,2017,4,18.5
C023,2017,5,20.6
C023,2017,6,17.2
C023,2017,7,19.1
C023,2017,8,18.0
C023,2017,9,13.1
C023,2017,10,10.2
C023,2017,11,5.7
C023,2017,12,3.9
C058,2017,1,5.5
C058,2017,2,8.0
C058,2017,3,11.3
C058,2017,4,18.9
C058,2017,5,20.6
C058,2017,6,17.2
C058,2017,7,18.5
C058,2017,8,17.5
C058,2017,9,12.8
C058,2017,10,10.4
C058,2017,11,5.7
C058,2017,12,3.8
C018,2017,1,5.5
C018,2017,2,7.7
C018,2017,3,11.2
C018,2017,4,19.0
C018,2017,5,20.5
C018,2017,6,17.7
C018,2017,7,19.5
C018,2017,8,18.0
C018,2017,9,13.5
C018,2017,10,10.2
C018,2017,11,0.6
C018,2017,12,0.0
C0DC,2017,1,4.8
C0DC,2017,2,8.2
C0DC,2017,3,11.5
C0DC,2017,4,17.9
C0DC,2017,5,21.1
C0DC,2017,6,16.8
C0DC,2017,7,18.7
C0DC,2017,8,16.7
C0DC,2017,9,12.2
C0DC,2017,10,9.5
C0DC,2017,11,4.4
C0DC,2017,12,3.2
C0EC,2017,1,5.2
C0EC,2017,2,7.5
C0EC,2017,3,10.1
C0EC,2017,4,17.4
C0EC,2017,5,19.8
C0EC,2017,6,15.5
C0EC,2017,7,16.7
C0EC,2017,8,16.2
C0EC,2017,9,12.5
C0EC,2017,10,9.4
C0EC,2017,11,5.5
C0EC,2017,12,3.5
C043,2017,1,5.4
C043,2017,2,7.5
C043,2017,3,11.7
C043,2017,4,18.8
C043,2017,5,20.6
C043,2017,6,17.4
C043,2017,7,18.4
C043,2017,8,16.9
C043,2017,9,12.7
C043,2017,10,10.0
