code,year,month,precipitacion_maxima_1dia
C076,2016,1,19.1
C076,2016,2,55.2
C076,2016,3,24.7
C076,2016,4,7.3
C076,2016,5,10.5
C076,2016,6,18.1
C076,2016,7,6.1
C076,2016,8,4
C076,2016,9,11.8
C076,2016,10,5.9
C076,2016,11,42.5
C076,2016,12,4.8
C056,2016,1,25
C056,2016,2,52.3
C056,2016,3,22.8
C056,2016,4,9.1
C056,2016,5,5.7
C056,2016,6,24.6
C056,2016,7,3.1
C056,2016,8,10.5
C056,2016,9,8
C056,2016,10,5.1
C056,2016,11,38.1
C056,2016,12,3
C035,2016,1,21.6
C035,2016,2,51.9
C035,2016,3,44.2
C035,2016,4,23.4
C035,2016,5,11.2
C035,2016,6,15.7
C035,2016,7,8.7
C035,2016,8,2.5
C035,2016,9,34
C035,2016,10,9.4
C035,2016,11,48.6
C035,2016,12,12.1
C001,2016,1,20.5
C001,2016,2,54.7
C001,2016,3,21.5
C001,2016,4,7.4
C001,2016,5,6.8
C001,2016,6,24.3
C001,2016,7,4
C001,2016,8,8.4
C001,2016,9,9.4
C001,2016,10,5.7
C001,2016,11,42.7
C001,2016,12,5.5
C034,2016,1,19
C034,2016,2,25.1
C034,2016,3,32.9
C034,2016,4,12.1
C034,2016,5,18.4
C034,2016,6,14.8
C034,2016,7,6.7
C034,2016,8,2
C034,2016,9,8.8
C034,2016,10,4.5
C034,2016,11,24.6
C034,2016,12,4.8
C0AA,2016,1,15.1
C0AA,2016,2,63.4
C0AA,2016,3,34.3
C0AA,2016,4,11.9
C0AA,2016,5,5.9
C0AA,2016,6,19.1
C0AA,2016,7,2.6
C0AA,2016,8,3.4
C0AA,2016,9,12.3
C0AA,2016,10,4.7
C0AA,2016,11,46.2
C0AA,2016,12,4
C067,2016,1,22.2
C067,2016,2,81.5
C067,2016,3,41.4
C067,2016,4,12.8
C067,2016,5,20.3
C067,2016,6,12.1
C067,2016,7,4.7
C067,2016,8,2.6
C067,2016,9,34.5
C067,2016,10,10.9
C067,2016,11,47.8
C067,2016,12,15.1
C044,2016,1,23.1
C044,2016,2,88.4
C044,2016,3,68.7
C044,2016,4,16.4
C044,2016,5,9.1
C044,2016,6,10
C044,2016,7,18.6
C044,2016,8,5.6
C044,2016,9,35.8
C044,2016,10,9.2
C044,2016,11,54.9
C044,2016,12,10.5
C048,2016,1,22.2
C048,2016,2,33.2
C048,2016,3,28
C048,2016,4,7.6
C048,2016,5,12.3
C048,2016,6,12
C048,2016,7,6.1
C048,2016,8,1.3
C048,2016,9,11.1
C048,2016,10,7.7
C048,2016,11,38.6
C048,2016,12,3.8
C068,2016,1,28.9
C068,2016,2,81.4
C068,2016,3,36.1
C068,2016,4,16.2
C068,2016,5,14.7
C068,2016,6,20.1
C068,2016,7,3.8
C068,2016,8,3.3
C068,2016,9,21.1
C068,2016,10,17.2
C068,2016,11,49.3
C068,2016,12,4.5
C024,2016,1,40.6
C024,2016,2,55
C024,2016,3,43.6
C024,2016,4,11
C024,2016,5,31.6
C024,2016,6,10
C024,2016,7,4.6
C024,2016,8,2.6
C024,2016,9,16.1
C024,2016,10,7.8
C024,2016,11,51.3
C024,2016,12,4.8
C00A,2016,1,25.5
C00A,2016,2,50.4
C00A,2016,3,38.4
C00A,2016,4,8.7
C00A,2016,5,26
C00A,2016,6,4
C00A,2016,7,10
C00A,2016,8,0.4
C00A,2016,9,7.5
C00A,2016,10,5.9
C00A,2016,11,35.5
C00A,2016,12,9.5
C047,2016,1,24.8
C047,2016,2,30.7
C047,2016,3,30.2
C047,2016,4,18.4
C047,2016,5,10.3
C047,2016,6,19.2
C047,2016,7,12.1
C047,2016,8,4.3
C047,2016,9,11.7
C047,2016,10,13.6
C047,2016,11,60.2
C047,2016,12,2.5
C031,2016,1,10.6
C031,2016,2,19.8
C031,2016,3,12.9
C031,2016,4,4.1
C031,2016,5,2.6
C031,2016,6,4.1
C031,2016,7,6
C031,2016,8,0.2
C031,2016,9,5.1
C031,2016,10,5.7
C031,2016,11,30.2
C031,2016,12,4.4
C041,2016,1,19.4
C041,2016,2,31.5
C041,2016,3,25
C041,2016,4,9.2
C041,2016,5,7.9
C041,2016,6,6.7
C041,2016,7,3.9
C041,2016,8,0.8
C041,2016,9,5.8
C041,2016,10,4.5
C041,2016,11,44.6
C041,2016,12,4.7
C055,2016,1,27
C055,2016,2,75.9
C055,2016,3,41.3
C055,2016,4,9.3
C055,2016,5,6.6
C055,2016,6,13.3
C055,2016,7,2.8
C055,2016,8,4.1
C055,2016,9,18.6
C055,2016,10,5.2
C055,2016,11,48.4
C055,2016,12,4.8
C060,2016,1,20.5
C060,2016,2,27.2
C060,2016,3,25.9
C060,2016,4,8.7
C060,2016,5,4.3
C060,2016,6,4.9
C060,2016,7,4.7
C060,2016,8,1.5
C060,2016,9,7.8
C060,2016,10,4.5
C060,2016,11,29
C060,2016,12,3.1
C030,2016,1,25.1
C030,2016,2,61.2
C030,2016,3,34.4
C030,2016,4,11.7
C030,2016,5,12.1
C030,2016,6,24.2
C030,2016,7,1.6
C030,2016,8,2.7
C030,2016,9,12.4
C030,2016,10,13.2
C030,2016,11,49.6
C030,2016,12,4.1
C051,2016,1,13.9
C051,2016,2,45.3
C051,2016,3,27.1
C051,2016,4,11.3
C051,2016,5,14.7
C051,2016,6,7.4
C051,2016,7,17.1
C051,2016,8,4.2
C051,2016,9,34.4
C051,2016,10,9.1
C051,2016,11,34
C051,2016,12,10.5
C0A0,2016,1,24.2
C0A0,2016,2,73.2
C0A0,2016,3,65
C0A0,2016,4,17.4
C0A0,2016,5,8.5
C0A0,2016,6,17.8
C0A0,2016,7,8
C0A0,2016,8,4.3
C0A0,2016,9,25.8
C0A0,2016,10,8.3
C0A0,2016,11,64.5
C0A0,2016,12,13
C049,2016,1,15.5
C049,2016,2,24.1
C049,2016,3,36.4
C049,2016,4,12.7
C049,2016,5,16.7
C049,2016,6,17
C049,2016,7,4.2
C049,2016,8,0.4
C049,2016,9,22.5
C049,2016,10,22.6
C049,2016,11,42
C049,2016,12,10.1
C020,2016,1,12.1
C020,2016,2,27.4
C020,2016,3,22.8
C020,2016,4,7
C020,2016,5,8
C020,2016,6,15.5
C020,2016,7,3.6
C020,2016,8,3.3
C020,2016,9,9.3
C020,2016,10,8.5
C020,2016,11,45.4
C020,2016,12,5.4
C070,2016,1,18.7
C070,2016,2,39.8
C070,2016,3,18.7
C070,2016,4,8.2
C070,2016,5,13.7
C070,2016,6,20.8
C070,2016,7,6.2
C070,2016,8,3.7
C070,2016,9,15
C070,2016,10,3
C070,2016,11,31.3
C070,2016,12,4
C050,2016,1,12.1
C050,2016,2,18.3
C050,2016,3,30.7
C050,2016,4,9.7
C050,2016,5,13.5
C050,2016,6,12.1
C050,2016,7,2.3
C050,2016,8,1.6
C050,2016,9,9.6
C050,2016,10,3.1
C050,2016,11,36.2
C050,2016,12,3.9
C0B1,2016,1,19.6
C0B1,2016,2,57.7
C0B1,2016,3,43.1
C0B1,2016,4,20.7
C0B1,2016,5,7.8
C0B1,2016,6,12
C0B1,2016,7,24.8
C0B1,2016,8,6.3
C0B1,2016,9,27.8
C0B1,2016,10,8.4
C0B1,2016,11,51.2
C0B1,2016,12,19.6
C079,2016,1,15.2
C079,2016,2,84
C079,2016,3,40.4
C079,2016,4,16.4
C079,2016,5,16.4
C079,2016,6,12.2
C079,2016,7,4.9
C079,2016,8,7.4
C079,2016,9,31.4
C079,2016,10,8.2
C079,2016,11,58.1
C079,2016,12,8.7
C0C1,2016,1,8.9
C0C1,2016,2,82.3
C0C1,2016,3,50.2
C0C1,2016,4,13.6
C0C1,2016,5,9.9
C0C1,2016,6,9.3
C0C1,2016,7,6.4
C0C1,2016,8,3.6
C0C1,2016,9,32.1
C0C1,2016,10,5.2
C0C1,2016,11,52.1
C0C1,2016,12,14.3
C061,2016,1,22.7
C061,2016,2,80.8
C061,2016,3,61.6
C061,2016,4,21.1
C061,2016,5,12.2
C061,2016,6,13.4
C061,2016,7,10.6
C061,2016,8,4
C061,2016,9,28.9
C061,2016,10,9.2
C061,2016,11,55.7
C061,2016,12,14.1
C032,2016,1,19.2
C032,2016,2,76.2
C032,2016,3,59.6
C032,2016,4,15.9
C032,2016,5,7.9
C032,2016,6,14.2
C032,2016,7,7.5
C032,2016,8,2.6
C032,2016,9,41.5
C032,2016,10,3.6
C032,2016,11,51.4
C032,2016,12,13.9
C002,2016,1,19.8
C002,2016,2,81.7
C002,2016,3,38.6
C002,2016,4,11.9
C002,2016,5,21.5
C002,2016,6,12.2
C002,2016,7,10.1
C002,2016,8,2.9
C002,2016,9,49.7
C002,2016,10,17.1
C002,2016,11,74
C002,2016,12,5.4
C0C2,2016,1,11.8
C0C2,2016,2,77.6
C0C2,2016,3,60.3
C0C2,2016,4,14.4
C0C2,2016,5,13.5
C0C2,2016,6,17.6
C0C2,2016,7,4.9
C0C2,2016,8,4.7
C0C2,2016,9,26.5
C0C2,2016,10,8
C0C2,2016,11,46.4
C0C2,2016,12,11.1
C069,2016,1,25.3
C069,2016,2,62.3
C069,2016,3,54.1
C069,2016,4,12.2
C069,2016,5,16.6
C069,2016,6,17.3
C069,2016,7,9.5
C069,2016,8,4.3
C069,2016,9,63.2
C069,2016,10,21
C069,2016,11,86
C069,2016,12,8
C0B6,2016,1,17.8
C0B6,2016,2,111.7
C0B6,2016,3,44.5
C0B6,2016,4,20.4
C0B6,2016,5,8.3
C0B6,2016,6,13.4
C0B6,2016,7,8.5
C0B6,2016,8,5.4
C0B6,2016,9,31.1
C0B6,2016,10,16.9
C0B6,2016,11,57
C0B6,2016,12,6.2
C0BE,2016,1,15.4
C0BE,2016,2,64.6
C0BE,2016,3,37
C0BE,2016,4,12
C0BE,2016,5,9.3
C0BE,2016,6,9.9
C0BE,2016,7,12.7
C0BE,2016,8,3.6
C0BE,2016,9,21.9
C0BE,2016,10,25.4
C0BE,2016,11,84.2
C0BE,2016,12,7
C065,2016,1,15.1
C065,2016,2,85.3
C065,2016,3,58.7
C065,2016,4,29.4
C065,2016,5,12.8
C065,2016,6,12.2
C065,2016,7,7.5
C065,2016,8,5.5
C065,2016,9,38.4
C065,2016,10,25.6
C065,2016,11,42.6
C065,2016,12,22.9
C003,2016,1,16
C003,2016,2,70.6
C003,2016,3,37.9
C003,2016,4,17.5
C003,2016,5,20.4
C003,2016,6,10.9
C003,2016,7,29.4
C003,2016,8,2.7
C003,2016,9,28
C003,2016,10,9.5
C003,2016,11,58.8
C003,2016,12,16
C039,2016,1,15.6
C039,2016,2,59.9
C039,2016,3,44.9
C039,2016,4,17.3
C039,2016,5,8.9
C039,2016,6,8.1
C039,2016,7,17.3
C039,2016,8,2.5
C039,2016,9,30.1
C039,2016,10,6.8
C039,2016,11,49.6
C039,2016,12,18.8
C075,2016,1,23.8
C075,2016,2,101.5
C075,2016,3,48.8
C075,2016,4,19.2
C075,2016,5,11.9
C075,2016,6,14.7
C075,2016,7,19.8
C075,2016,8,7.3
C075,2016,9,42.4
C075,2016,10,8.5
C075,2016,11,66.2
C075,2016,12,4.2
C074,2016,1,21.1
C074,2016,2,74.9
C074,2016,3,41.6
C074,2016,4,16
C074,2016,5,9.1
C074,2016,6,12.7
C074,2016,7,16
C074,2016,8,5.8
C074,2016,9,25.9
C074,2016,10,11
C074,2016,11,62.6
C074,2016,12,4.1
C038,2016,1,15.4
C038,2016,2,61.6
C038,2016,3,47.3
C038,2016,4,18.1
C038,2016,5,9.4
C038,2016,6,12.2
C038,2016,7,20.4
C038,2016,8,2.3
C038,2016,9,34.5
C038,2016,10,9.7
C038,2016,11,48.1
C038,2016,12,20.4
C033,2016,1,15.2
C033,2016,2,92.5
C033,2016,3,52.7
C033,2016,4,21.9
C033,2016,5,14.5
C033,2016,6,11.4
C033,2016,7,14.8
C033,2016,8,4.8
C033,2016,9,22.3
C033,2016,10,12.9
C033,2016,11,55.4
C033,2016,12,13.9
C0BD,2016,1,25.9
C0BD,2016,2,80.8
C0BD,2016,3,47.8
C0BD,2016,4,17.1
C0BD,2016,5,12.9
C0BD,2016,6,10.5
C0BD,2016,7,22.3
C0BD,2016,8,4.5
C0BD,2016,9,35
C0BD,2016,10,13.5
C0BD,2016,11,87.4
C0BD,2016,12,6.2
C036,2016,1,20.4
C036,2016,2,87.9
C036,2016,3,38
C036,2016,4,18.9
C036,2016,5,9.5
C036,2016,6,11.4
C036,2016,7,6.6
C036,2016,8,4.2
C036,2016,9,25.5
C036,2016,10,10.4
C036,2016,11,54.7
C036,2016,12,5.9
C045,2016,1,13.5
C045,2016,2,46.3
C045,2016,3,35.8
C045,2016,4,15.2
C045,2016,5,8.9
C045,2016,6,9.3
C045,2016,7,11
C045,2016,8,5.1
C045,2016,9,30.8
C045,2016,10,8.4
C045,2016,11,43.6
C045,2016,12,11.9
C0B7,2016,1,17
C0B7,2016,2,97.6
C0B7,2016,3,55.1
C0B7,2016,4,19.1
C0B7,2016,5,9.6
C0B7,2016,6,14.8
C0B7,2016,7,6.7
C0B7,2016,8,2.9
C0B7,2016,9,34.7
C0B7,2016,10,7.3
C0B7,2016,11,60
C0B7,2016,12,5.6
C019,2016,1,16.2
C019,2016,2,41.2
C019,2016,3,37.8
C019,2016,4,6.1
C019,2016,5,10.5
C019,2016,6,13.7
C019,2016,7,23.3
C019,2016,8,6.8
C019,2016,9,30.9
C019,2016,10,22.2
C019,2016,11,73.4
C019,2016,12,6
C057,2016,1,16.1
C057,2016,2,66.7
C057,2016,3,32.6
C057,2016,4,12.7
C057,2016,5,25
C057,2016,6,20.9
C057,2016,7,10.5
C057,2016,8,2.9
C057,2016,9,44.7
C057,2016,10,17.9
C057,2016,11,71.1
C057,2016,12,11.2
C063,2016,1,17.3
C063,2016,2,84.8
C063,2016,3,44.5
C063,2016,4,11.6
C063,2016,5,22.2
C063,2016,6,14
C063,2016,7,19.4
C063,2016,8,2.1
C063,2016,9,47.5
C063,2016,10,24.1
C063,2016,11,69.4
C063,2016,12,5.2
C046,2016,1,14.3
C046,2016,2,30.2
C046,2016,3,29.1
C046,2016,4,13.9
C046,2016,5,11
C046,2016,6,10.2
C046,2016,7,28.8
C046,2016,8,15
C046,2016,9,26.8
C046,2016,10,13
C046,2016,11,37.4
C046,2016,12,4.1
C0BA,2016,1,23.5
C0BA,2016,2,50.9
C0BA,2016,3,32.9
C0BA,2016,4,8.3
C0BA,2016,5,13.6
C0BA,2016,6,11
C0BA,2016,7,22.7
C0BA,2016,8,4.1
C0BA,2016,9,39.3
C0BA,2016,10,6.8
C0BA,2016,11,83
C0BA,2016,12,7
C059,2016,1,20.1
C059,2016,2,73.1
C059,2016,3,61.5
C059,2016,4,21.4
C059,2016,5,14.1
C059,2016,6,13
C059,2016,7,5.1
C059,2016,8,5
C059,2016,9,20.7
C059,2016,10,9.3
C059,2016,11,52.7
C059,2016,12,17.2
C072,2016,1,13.5
C072,2016,2,28.9
C072,2016,3,26.6
C072,2016,4,23.9
C072,2016,5,13.5
C072,2016,6,10
C072,2016,7,11.1
C072,2016,8,6.9
C072,2016,9,26.8
C072,2016,10,15.6
C072,2016,11,31.6
C072,2016,12,13
C0B4,2016,1,19.1
C0B4,2016,2,84.9
C0B4,2016,3,52.8
C0B4,2016,4,16.3
C0B4,2016,5,11.1
C0B4,2016,6,5
C0B4,2016,7,11.7
C0B4,2016,8,2.8
C0B4,2016,9,35.6
C0B4,2016,10,10.5
C0B4,2016,11,52.9
C0B4,2016,12,14.1
C054,2016,1,20.8
C054,2016,2,113.5
C054,2016,3,51.9
C054,2016,4,21.4
C054,2016,5,9.7
C054,2016,6,11.1
C054,2016,7,12.5
C054,2016,8,6.7
C054,2016,9,18.8
C054,2016,10,22.6
C054,2016,11,62.2
C054,2016,12,9.9
C042,2016,1,14.8
C042,2016,2,36.8
C042,2016,3,31.8
C042,2016,4,6.6
C042,2016,5,8.6
C042,2016,6,12.6
C042,2016,7,27.7
C042,2016,8,2.4
C042,2016,9,25.3
C042,2016,10,12.1
C042,2016,11,47.9
C042,2016,12,16.6
C0B9,2016,1,20.1
C0B9,2016,2,59.7
C0B9,2016,3,46.3
C0B9,2016,4,17.4
C0B9,2016,5,7.2
C0B9,2016,6,11.9
C0B9,2016,7,42
C0B9,2016,8,3.5
C0B9,2016,9,30.9
C0B9,2016,10,7.2
C0B9,2016,11,51.9
C0B9,2016,12,18.7
C0C3,2016,1,21.8
C0C3,2016,2,96.6
C0C3,2016,3,68.4
C0C3,2016,4,15.8
C0C3,2016,5,10.1
C0C3,2016,6,13.2
C0C3,2016,7,3.7
C0C3,2016,8,2.2
C0C3,2016,9,55.2
C0C3,2016,10,4.2
C0C3,2016,11,63.5
C0C3,2016,12,20.5
C022,2016,1,15.5
C022,2016,2,104.1
C022,2016,3,36.8
C022,2016,4,9.7
C022,2016,5,6.8
C022,2016,6,17.5
C022,2016,7,10.4
C022,2016,8,5.4
C022,2016,9,24.4
C022,2016,10,7
C022,2016,11,61.3
C022,2016,12,6.4
C0B3,2016,1,15.6
C0B3,2016,2,71.8
C0B3,2016,3,48.4
C0B3,2016,4,20.8
C0B3,2016,5,15.4
C0B3,2016,6,9.8
C0B3,2016,7,10.9
C0B3,2016,8,4.9
C0B3,2016,9,21.2
C0B3,2016,10,8.9
C0B3,2016,11,57.3
C0B3,2016,12,12.3
C037,2016,1,19.1
C037,2016,2,81.4
C037,2016,3,52.2
C037,2016,4,27.3
C037,2016,5,9.6
C037,2016,6,12.6
C037,2016,7,19.9
C037,2016,8,6.1
C037,2016,9,28.8
C037,2016,10,7.2
C037,2016,11,50.5
C037,2016,12,21.6
C0E5,2016,1,16.8
C0E5,2016,2,67
C0E5,2016,3,37
C0E5,2016,4,11.7
C0E5,2016,5,13.5
C0E5,2016,6,26.8
C0E5,2016,7,6.6
C0E5,2016,8,6.7
C0E5,2016,9,11
C0E5,2016,10,10.7
C0E5,2016,11,58.8
C0E5,2016,12,4.1
C0DB,2016,1,28.9
C0DB,2016,2,95.4
C0DB,2016,3,52.3
C0DB,2016,4,19.3
C0DB,2016,5,9
C0DB,2016,6,12.4
C0DB,2016,7,8.6
C0DB,2016,8,16.4
C0DB,2016,9,36.8
C0DB,2016,10,12.1
C0DB,2016,11,75
C0DB,2016,12,4.5
C0D3,2016,1,20.7
C0D3,2016,2,86.8
C0D3,2016,3,58.3
C0D3,2016,4,16.8
C0D3,2016,5,29.9
C0D3,2016,6,17.6
C0D3,2016,7,24.1
C0D3,2016,8,10.1
C0D3,2016,9,37.2
C0D3,2016,10,9.7
C0D3,2016,11,76.6
C0D3,2016,12,4.6
C0DD,2016,1,17.1
C0DD,2016,2,60.8
C0DD,2016,3,44.3
C0DD,2016,4,18.3
C0DD,2016,5,11
C0DD,2016,6,12.5
C0DD,2016,7,19.5
C0DD,2016,8,23
C0DD,2016,9,18.3
C0DD,2016,10,16.7
C0DD,2016,11,57.4
C0DD,2016,12,8.6
C0E9,2016,1,26
C0E9,2016,2,88.8
C0E9,2016,3,49.3
C0E9,2016,4,15
C0E9,2016,5,10.3
C0E9,2016,6,23.2
C0E9,2016,7,5.1
C0E9,2016,8,5.8
C0E9,2016,9,32.4
C0E9,2016,10,18.3
C0E9,2016,11,61.7
C0E9,2016,12,4.6
C078,2016,1,20.7
C078,2016,2,76.5
C078,2016,3,47.7
C078,2016,4,22.3
C078,2016,5,10.3
C078,2016,6,11
C078,2016,7,9.1
C078,2016,8,7.8
C078,2016,9,27.3
C078,2016,10,14.6
C078,2016,11,72.9
C078,2016,12,6.3
C052,2016,1,35.9
C052,2016,2,107
C052,2016,3,53.7
C052,2016,4,22.9
C052,2016,5,17
C052,2016,6,20.3
C052,2016,7,17.1
C052,2016,8,8.9
C052,2016,9,32.6
C052,2016,10,23
C052,2016,11,65.6
C052,2016,12,10.9
C0E1,2016,1,15
C0E1,2016,2,64.7
C0E1,2016,3,38.2
C0E1,2016,4,15.6
C0E1,2016,5,14.9
C0E1,2016,6,29.9
C0E1,2016,7,4.9
C0E1,2016,8,4.7
C0E1,2016,9,15.1
C0E1,2016,10,15.8
C0E1,2016,11,60.7
C0E1,2016,12,4
C077,2016,1,16.1
C077,2016,2,72.2
C077,2016,3,40
C077,2016,4,14.3
C077,2016,5,12.2
C077,2016,6,15.2
C077,2016,7,15.5
C077,2016,8,8.9
C077,2016,9,22.6
C077,2016,10,28.2
C077,2016,11,62.1
C077,2016,12,11.7
C080,2016,1,40.3
C080,2016,2,100.4
C080,2016,3,53.4
C080,2016,4,19.2
C080,2016,5,32.7
C080,2016,6,17.5
C080,2016,7,15.8
C080,2016,8,9.3
C080,2016,9,34.1
C080,2016,10,34.8
C080,2016,11,67.7
C080,2016,12,11.7
C0E8,2016,1,27.8
C0E8,2016,2,74.1
C0E8,2016,3,52
C0E8,2016,4,19.1
C0E8,2016,5,14.7
C0E8,2016,6,15
C0E8,2016,7,13.7
C0E8,2016,8,8.9
C0E8,2016,9,26.5
C0E8,2016,10,21.6
C0E8,2016,11,65.1
C0E8,2016,12,6.5
C023,2016,1,33.5
C023,2016,2,134.2
C023,2016,3,52.4
C023,2016,4,25.7
C023,2016,5,9
C023,2016,6,16.5
C023,2016,7,11.5
C023,2016,8,7.7
C023,2016,9,29.1
C023,2016,10,5.6
C023,2016,11,59.6
C023,2016,12,6
C084,2016,1,28.1
C084,2016,2,40.2
C084,2016,3,33
C084,2016,4,16.1
C084,2016,5,29.2
C084,2016,6,14.8
C084,2016,7,5.4
C084,2016,8,9.2
C084,2016,9,30.6
C084,2016,10,31.4
C084,2016,11,64.9
C084,2016,12,5.6
C0EA,2016,1,23.4
C0EA,2016,2,68.4
C0EA,2016,3,44.6
C0EA,2016,4,22
C0EA,2016,5,18.1
C0EA,2016,6,23.6
C0EA,2016,7,24.8
C0EA,2016,8,13.6
C0EA,2016,9,25.8
C0EA,2016,10,22.4
C0EA,2016,11,75.3
